Gross Margin %,60.3,55.2,43.1,54.6,56.4,54.5,58.6,55.2,58.1,60.3,55.2,43.1,54.6,56.4,54.5,58.6,55.2
Operating Margin %,36.5,17.3,-38.0,19.8,21.6,15.0,27.9,19.9,32.0,36.5,17.3,-38.0,19.8,21.6,15.0,27.9,19.9
Earnings Per Share USD,4.66,1.23,-3.07,1.95,2.61,1.86,2.32,1.21,4.44,4.66,1.23,-3.07,1.95,2.61,1.86,2.32,1.21
Book Value Per Share USD,17.12,13.37,12.80,17.53,18.53,17.92,15.73,13.37,19.82,17.12,13.37,12.80,17.53,18.53,17.92,15.73,13.37
SG&A,11.64,19.85,27.31,18.52,18.80,20.52,14.39,16.62,11.75,11.64,19.85,27.31,18.52,18.80,20.52,14.39,16.62
R&D,12.16,18.10,24.43,16.26,16.02,19.02,16.32,18.75,14.28,12.16,18.10,24.43,16.26,16.02,19.02,16.32,18.75
Return on Assets %,18.51,5.65,-12.38,7.58,11.48,8.89,12.40,7.61,15.47,18.51,5.65,-12.38,7.58,11.48,8.89,12.40,7.61
Return on Equity %,31.11,9.58,-20.26,11.00,14.84,11.51,16.45,10.06,24.48,31.11,9.58,-20.26,11.00,14.84,11.51,16.45,10.06
Return on Invested Capital %,22.71,5.78,-17.17,8.69,14.76,11.44,16.39,10.04,18.62,22.71,5.78,-17.17,8.69,14.76,11.44,16.39,10.04
Cap Ex as a % of Sales,1.61,1.66,1.46,2.27,3.07,3.56,2.86,3.71,1.82,1.61,1.66,1.46,2.27,3.07,3.56,2.86,3.71
Total Current Assets,78.62,72.57,66.45,62.61,70.36,77.43,80.34,61.92,81.64,78.62,72.57,66.45,62.61,70.36,77.43,80.34,61.92
Total Current Liabilities,18.86,19.75,15.62,19.60,23.21,21.91,23.38,25.76,16.92,18.86,19.75,15.62,19.60,23.21,21.91,23.38,25.76
Current Ratio,4.17,3.67,4.25,3.19,3.03,3.53,3.44,2.40,4.83,4.17,3.67,4.25,3.19,3.03,3.53,3.44,2.40
Quick Ratio,3.04,2.56,2.73,2.14,2.14,2.76,2.71,1.65,3.78,3.04,2.56,2.73,2.14,2.14,2.76,2.71,1.65
