Gross Margin %,78.1,77.0,75.4,77.3,77.7,78.2,79.1,77.0,75.3,78.1,77.0,75.4,77.3,77.7,78.2,79.1,77.0
Operating Margin %,51.7,48.2,42.5,48.4,48.4,51.6,56.2,54.1,46.0,51.7,48.2,42.5,48.4,48.4,51.6,56.2,54.1
Earnings Per Share USD,2.50,1.58,1.41,1.71,1.39,1.37,1.38,1.02,1.70,2.50,1.58,1.41,1.71,1.39,1.37,1.38,1.02
Book Value Per Share USD,2.22,0.18,-0.84,-1.96,-2.79,6.93,6.56,5.85,3.20,2.22,0.18,-0.84,-1.96,-2.79,6.93,6.56,5.85
SG&A,11.17,11.84,13.30,12.12,12.34,11.87,10.43,9.91,11.65,11.17,11.84,13.30,12.12,12.34,11.87,10.43,9.91
R&D,15.26,17.01,19.19,16.77,16.95,14.72,12.52,12.96,17.72,15.26,17.01,19.19,16.77,16.95,14.72,12.52,12.96
Return on Assets %,36.05,23.99,20.86,27.66,22.81,18.33,19.84,15.84,22.87,36.05,23.99,20.86,27.66,22.81,18.33,19.84,15.84
Return on Equity %,212.98,,,,58.96,20.85,22.74,18.10,64.10,212.98,,,,58.96,20.85,22.74,18.10
Return on Invested Capital %,43.14,,,,16.66,20.85,22.74,18.10,25.61,43.14,,,,16.66,20.85,22.74,18.10
Cap Ex as a % of Sales,8.11,3.28,4.04,3.00,5.72,6.35,5.92,2.57,2.82,8.11,3.28,4.04,3.00,5.72,6.35,5.92,2.57
Total Current Assets,76.40,79.48,76.63,78.64,70.65,86.88,87.80,87.76,81.33,76.40,79.48,76.63,78.64,70.65,86.88,87.80,87.76
Total Current Liabilities,11.21,36.62,8.82,11.06,14.76,9.91,9.09,9.71,9.22,11.21,36.62,8.82,11.06,14.76,9.91,9.09,9.71
Current Ratio,6.82,2.17,8.69,7.11,4.79,8.77,9.66,9.04,8.83,6.82,2.17,8.69,7.11,4.79,8.77,9.66,9.04
Quick Ratio,5.97,1.95,7.69,6.44,4.25,8.33,9.23,8.57,7.95,5.97,1.95,7.69,6.44,4.25,8.33,9.23,8.57
