Gross Margin %,46.2,45.5,34.8,47.4,50.8,50.4,50.9,46.1,40.7,46.2,45.5,34.8,47.4,50.8,50.4,50.9,46.1
Operating Margin %,24.8,19.9,-25.2,20.6,30.3,24.7,26.0,11.3,8.9,24.8,19.9,-25.2,20.6,30.3,24.7,26.0,11.3
Earnings Per Share USD,5.79,2.71,-2.41,3.47,4.85,2.34,2.10,0.59,1.35,5.79,2.71,-2.41,3.47,4.85,2.34,2.10,0.59
Book Value Per Share USD,19.99,14.04,11.48,14.23,8.71,10.02,7.70,6.06,27.49,19.99,14.04,11.48,14.23,8.71,10.02,7.70,6.06
SG&A,9.52,9.48,21.30,11.64,9.39,11.71,10.97,15.61,15.01,9.52,9.48,21.30,11.64,9.39,11.71,10.97,15.61
R&D,11.53,15.04,25.83,13.08,11.12,13.94,12.92,18.21,16.68,11.53,15.04,25.83,13.08,11.12,13.94,12.92,18.21
Return on Assets %,22.12,15.62,-12.70,17.90,31.07,17.85,22.61,6.92,2.80,22.12,15.62,-12.70,17.90,31.07,17.85,22.61,6.92
Return on Equity %,34.16,21.52,-18.70,29.74,53.32,27.26,31.86,11.36,4.44,34.16,21.52,-18.70,29.74,53.32,27.26,31.86,11.36
Return on Invested Capital %,28.73,21.03,-17.17,24.27,42.33,23.81,31.54,8.78,2.84,28.73,21.03,-17.17,24.27,42.33,23.81,31.54,8.78
Cap Ex as a % of Sales,3.94,1.67,3.97,3.10,2.34,2.56,1.52,2.57,4.02,3.94,1.67,3.97,3.10,2.34,2.56,1.52,2.57
Total Current Assets,80.76,70.62,61.27,68.32,67.39,73.76,85.92,74.78,55.16,80.76,70.62,61.27,68.32,67.39,73.76,85.92,74.78
Total Current Liabilities,16.87,22.46,17.46,22.72,32.01,24.48,26.17,31.42,17.83,16.87,22.46,17.46,22.72,32.01,24.48,26.17,31.42
Current Ratio,4.79,3.14,3.51,3.01,2.11,3.01,3.28,2.38,3.09,4.79,3.14,3.51,3.01,2.11,3.01,3.28,2.38
Quick Ratio,3.96,2.37,2.44,2.31,1.61,2.57,2.75,1.79,2.54,3.96,2.37,2.44,2.31,1.61,2.57,2.75,1.79
