Gross Margin %,47.1,43.1,38.0,39.9,34.7,43.1,43.4,43.3,49.2,47.1,43.1,38.0,39.9,34.7,43.1,43.4,43.3
Operating Margin %,3.3,1.4,-5.8,-22.3,-95.7,8.0,0.6,-25.7,5.5,3.3,1.4,-5.8,-22.3,-95.7,8.0,0.6,-25.7
Earnings Per Share USD,0.55,0.06,-0.07,-0.96,-3.87,0.42,-0.01,-1.21,0.34,0.55,0.06,-0.07,-0.96,-3.87,0.42,-0.01,-1.21
Book Value Per Share USD,1.88,2.14,2.23,2.23,3.52,4.73,4.16,4.20,2.11,1.88,2.14,2.23,2.23,3.52,4.73,4.16,4.20
SG&A,14.45,13.35,14.69,15.20,14.65,12.89,12.29,14.32,14.16,14.45,13.35,14.69,15.20,14.65,12.89,12.29,14.32
R&D,28.18,26.06,27.41,25.12,25.17,20.86,20.70,24.79,27.54,28.18,26.06,27.41,25.12,25.17,20.86,20.70,24.79
Return on Assets %,14.24,1.48,-1.51,-16.08,-68.62,6.01,-0.20,-14.66,8.55,14.24,1.48,-1.51,-16.08,-68.62,6.01,-0.20,-14.66
Return on Equity %,27.90,2.88,-3.29,-31.70,-113.53,9.63,-0.35,-25.33,17.69,27.90,2.88,-3.29,-31.70,-113.53,9.63,-0.35,-25.33
Return on Invested Capital %,27.90,2.24,-3.22,-23.97,-92.42,6.88,-1.33,-18.42,17.69,27.90,2.24,-3.22,-23.97,-92.42,6.88,-1.33,-18.42
Cap Ex as a % of Sales,2.98,3.59,4.06,5.03,3.95,2.96,2.50,3.10,5.22,2.98,3.59,4.06,5.03,3.95,2.96,2.50,3.10
Total Current Assets,63.74,52.12,53.42,53.81,49.87,57.35,57.94,47.50,52.07,63.74,52.12,53.42,53.81,49.87,57.35,57.94,47.50
Total Current Liabilities,20.65,19.99,28.79,23.85,17.34,18.47,26.56,13.79,21.94,20.65,19.99,28.79,23.85,17.34,18.47,26.56,13.79
Current Ratio,3.09,2.61,1.86,2.26,2.88,3.11,2.18,3.45,2.37,3.09,2.61,1.86,2.26,2.88,3.11,2.18,3.45
Quick Ratio,2.56,2.07,1.52,1.78,2.37,2.58,1.70,2.74,1.82,2.56,2.07,1.52,1.78,2.37,2.58,1.70,2.74
