Gross Margin %,58.8,56.4,57.2,60.3,60.1,59.4,57.1,50.0,57.3,58.8,56.4,57.2,60.3,60.1,59.4,57.1,50.0
Operating Margin %,31.9,25.8,25.8,29.1,33.5,35.2,30.5,24.5,28.7,31.9,25.8,25.8,29.1,33.5,35.2,30.5,24.5
Earnings Per Share USD,2.15,1.16,1.33,1.40,1.62,1.13,1.01,0.65,1.65,2.15,1.16,1.33,1.40,1.62,1.13,1.01,0.65
Book Value Per Share USD,9.56,8.27,5.44,5.49,9.28,8.10,7.17,6.35,10.36,9.56,8.27,5.44,5.49,9.28,8.10,7.17,6.35
SG&A,15.32,17.64,17.85,16.96,15.70,13.97,13.13,13.22,15.36,15.32,17.64,17.85,16.96,15.70,13.97,13.13,13.22
R&D,11.47,12.75,12.79,11.67,10.94,10.23,10.99,12.21,13.21,11.47,12.75,12.79,11.67,10.94,10.23,10.99,12.21
Return on Assets %,15.28,8.79,10.09,12.45,15.46,11.63,12.43,9.00,11.13,15.28,8.79,10.09,12.45,15.46,11.63,12.43,9.00
Return on Equity %,25.04,17.19,24.55,19.58,19.14,15.09,15.24,10.98,17.71,25.04,17.19,24.55,19.58,19.14,15.09,15.24,10.98
Return on Invested Capital %,19.32,9.24,10.27,10.90,18.88,13.67,14.71,10.97,13.60,19.32,9.24,10.27,10.90,18.88,13.67,14.71,10.97
Cap Ex as a % of Sales,8.37,5.02,11.33,6.74,5.77,8.22,7.46,9.08,4.51,8.37,5.02,11.33,6.74,5.77,8.22,7.46,9.08
Total Current Assets,59.80,64.02,71.97,68.37,47.80,47.60,59.16,54.49,65.37,59.80,64.02,71.97,68.37,47.80,47.60,59.16,54.49
Total Current Liabilities,11.47,8.08,6.43,7.61,11.28,25.91,16.87,16.65,8.04,11.47,8.08,6.43,7.61,11.28,25.91,16.87,16.65
Current Ratio,5.22,7.92,11.20,8.99,4.24,1.84,3.51,3.27,8.13,5.22,7.92,11.20,8.99,4.24,1.84,3.51,3.27
Quick Ratio,4.19,6.65,9.50,7.66,3.42,1.48,2.76,2.16,6.57,4.19,6.65,9.50,7.66,3.42,1.48,2.76,2.16
