Gross Margin %,30.3,29.7,25.4,30.5,31.1,34.9,34.3,34.7,30.6,30.3,29.7,25.4,30.5,31.1,34.9,34.3,34.7
Operating Margin %,12.0,4.6,-13.4,9.6,9.8,10.9,7.7,34.6,11.4,12.0,4.6,-13.4,9.6,9.8,10.9,7.7,34.6
Earnings Per Share USD,1.70,0.44,-1.84,1.19,1.30,1.26,0.81,0.92,1.59,1.70,0.44,-1.84,1.19,1.30,1.26,0.81,0.92
Book Value Per Share USD,13.51,11.40,11.31,15.01,13.68,12.38,11.48,10.93,13.84,13.51,11.40,11.31,15.01,13.68,12.38,11.48,10.93
SG&A,17.94,20.31,22.72,19.98,20.16,23.11,24.44,24.73,18.85,17.94,20.31,22.72,19.98,20.16,23.11,24.44,24.73
Return on Assets %,8.74,2.49,-9.82,6.23,7.66,8.31,5.83,7.17,7.81,8.74,2.49,-9.82,6.23,7.66,8.31,5.83,7.17
Return on Equity %,13.73,3.80,-13.56,8.29,10.02,10.65,7.29,8.88,11.70,13.73,3.80,-13.56,8.29,10.02,10.65,7.29,8.88
Return on Invested Capital %,11.98,3.35,-12.34,7.77,9.74,10.59,7.24,8.79,10.27,11.98,3.35,-12.34,7.77,9.74,10.59,7.24,8.79
Cap Ex as a % of Sales,7.31,7.63,6.89,7.05,9.09,9.67,9.06,8.44,6.51,7.31,7.63,6.89,7.05,9.09,9.67,9.06,8.44
Total Current Assets,57.13,54.87,49.20,49.53,47.97,52.07,50.37,45.43,57.57,57.13,54.87,49.20,49.53,47.97,52.07,50.37,45.43
Total Current Liabilities,24.52,28.20,24.27,18.04,16.01,20.01,17.21,16.66,24.56,24.52,28.20,24.27,18.04,16.01,20.01,17.21,16.66
Current Ratio,2.33,1.95,2.03,2.75,3.00,2.60,2.93,2.73,2.34,2.33,1.95,2.03,2.75,3.00,2.60,2.93,2.73
Quick Ratio,1.54,1.24,1.40,1.93,2.16,1.93,2.21,2.03,1.58,1.54,1.24,1.40,1.93,2.16,1.93,2.21,2.03
