Gross Margin %,20.0,32.0,-9.1,-0.9,19.0,22.8,23.5,29.9,11.8,20.0,32.0,-9.1,-0.9,19.0,22.8,23.5,29.9
Operating Margin %,8.6,18.7,-34.9,-27.3,-4.9,6.6,4.5,5.7,-7.5,8.6,18.7,-34.9,-27.3,-4.9,6.6,4.5,5.7
Earnings Per Share USD,0.17,1.85,-2.29,-2.10,-0.42,0.57,0.29,0.24,-1.04,0.17,1.85,-2.29,-2.10,-0.42,0.57,0.29,0.24
Book Value Per Share USD,8.44,8.07,5.85,8.12,10.24,11.12,9.49,9.18,7.57,8.44,8.07,5.85,8.12,10.24,11.12,9.49,9.18
SG&A,6.74,6.22,7.37,7.79,10.72,8.73,6.68,7.55,7.53,6.74,6.22,7.37,7.79,10.72,8.73,6.68,7.55
R&D,9.00,7.36,13.47,11.64,14.15,12.44,12.37,17.14,11.15,9.00,7.36,13.47,11.64,14.15,12.44,12.37,17.14
Return on Assets %,1.13,14.15,-14.75,-11.46,-2.37,4.03,2.38,2.11,-7.10,1.13,14.15,-14.75,-11.46,-2.37,4.03,2.38,2.11
Return on Equity %,2.03,29.19,-33.88,-23.24,-4.03,5.84,3.28,2.97,-12.76,2.03,29.19,-33.88,-23.24,-4.03,5.84,3.28,2.97
Return on Invested Capital %,0.85,18.44,-23.66,-17.84,-3.82,4.88,2.06,1.90,-11.26,0.85,18.44,-23.66,-17.84,-3.82,4.88,2.06,1.90
Cap Ex as a % of Sales,29.02,7.26,10.16,43.30,63.34,25.89,21.82,24.54,20.63,29.02,7.26,10.16,43.30,63.34,25.89,21.82,24.54
Total Current Assets,39.53,43.10,29.19,28.14,35.32,41.74,36.54,34.00,40.19,39.53,43.10,29.19,28.14,35.32,41.74,36.54,34.00
Total Current Liabilities,16.81,18.39,16.52,11.90,13.67,13.59,12.22,12.53,15.65,16.81,18.39,16.52,11.90,13.67,13.59,12.22,12.53
Current Ratio,2.35,2.34,1.77,2.36,2.58,3.07,2.99,2.71,2.57,2.35,2.34,1.77,2.36,2.58,3.07,2.99,2.71
Quick Ratio,1.47,1.64,1.21,1.50,1.78,2.43,2.13,2.06,1.72,1.47,1.64,1.21,1.50,1.78,2.43,2.13,2.06
