Gross Margin %,76.4,78.5,79.4,77.8,76.7,77.5,77.5,77.2,78.8,76.4,78.5,79.4,77.8,76.7,77.5,77.5,77.2
Operating Margin %,33.8,33.8,35.8,35.0,33.2,32.9,34.1,38.0,36.9,33.8,33.8,35.8,35.0,33.2,32.9,34.1,38.0
Earnings Per Share USD,1.67,1.21,1.09,1.06,0.81,0.64,0.55,0.50,1.96,1.67,1.21,1.09,1.06,0.81,0.64,0.55,0.50
Book Value Per Share USD,7.85,5.67,5.03,4.48,3.31,2.81,2.11,1.43,8.91,7.85,5.67,5.03,4.48,3.31,2.81,2.11,1.43
SG&A,21.19,22.34,23.32,24.46,25.56,25.95,25.94,26.56,22.23,21.19,22.34,23.32,24.46,25.56,25.95,25.94,26.56
R&D,12.69,12.13,11.90,12.22,12.20,13.02,12.64,12.58,12.18,12.69,12.13,11.90,12.22,12.20,13.02,12.64,12.58
Return on Assets %,12.65,11.26,11.81,13.49,13.44,13.60,17.26,22.50,13.14,12.65,11.26,11.81,13.49,13.44,13.60,17.26,22.50
Return on Equity %,24.22,21.95,23.25,27.64,26.77,26.16,30.65,37.46,23.92,24.22,21.95,23.25,27.64,26.77,26.16,30.65,37.46
Return on Invested Capital %,15.70,13.80,14.78,17.45,17.31,18.57,25.17,35.91,16.21,15.70,13.80,14.78,17.45,17.31,18.57,25.17,35.91
Cap Ex as a % of Sales,1.26,0.86,2.28,1.08,1.77,1.64,1.59,1.86,1.75,1.26,0.86,2.28,1.08,1.77,1.64,1.59,1.86
Total Current Assets,53.27,43.85,39.19,38.30,37.26,41.25,40.99,88.82,51.10,53.27,43.85,39.19,38.30,37.26,41.25,40.99,88.82
Total Current Liabilities,19.30,23.86,19.30,21.22,27.15,23.87,38.98,33.47,19.65,19.30,23.86,19.30,21.22,27.15,23.87,38.98,33.47
Current Ratio,2.76,1.84,2.03,1.81,1.37,1.73,1.05,2.65,2.60,2.76,1.84,2.03,1.81,1.37,1.73,1.05,2.65
Quick Ratio,2.50,1.64,1.86,1.68,1.24,1.59,0.96,2.56,2.41,2.50,1.64,1.86,1.68,1.24,1.59,0.96,2.56
