Gross Margin %,68.6,67.3,67.3,68.0,67.4,66.5,77.2,76.6,69.5,68.6,67.3,67.3,68.0,67.4,66.5,77.2,76.6
Operating Margin %,37.7,36.2,38.7,40.1,37.2,38.8,36.9,33.5,38.3,37.7,36.2,38.7,40.1,37.2,38.8,36.9,33.5
Earnings Per Share USD,1.42,1.32,1.48,1.56,1.35,1.22,0.97,0.80,1.51,1.42,1.32,1.48,1.56,1.35,1.22,0.97,0.80
Book Value Per Share USD,4.13,3.87,3.72,3.32,5.11,4.36,3.66,3.17,4.43,4.13,3.87,3.72,3.32,5.11,4.36,3.66,3.17
SG&A,30.91,31.11,28.67,27.94,30.20,27.75,40.26,43.08,31.17,30.91,31.11,28.67,27.94,30.20,27.75,40.26,43.08
Return on Assets %,9.70,9.21,10.22,9.97,8.74,9.37,8.86,7.93,9.23,9.70,9.21,10.22,9.97,8.74,9.37,8.86,7.93
Return on Equity %,35.56,34.77,42.04,36.59,28.58,30.58,28.53,26.61,35.35,35.56,34.77,42.04,36.59,28.58,30.58,28.53,26.61
Return on Invested Capital %,35.56,34.77,42.04,36.59,28.58,30.58,28.53,26.61,35.35,35.56,34.77,42.04,36.59,28.58,30.58,28.53,26.61
Cap Ex as a % of Sales,4.82,3.66,3.11,3.98,4.19,4.85,4.89,3.91,4.02,4.82,3.66,3.11,3.98,4.19,4.85,4.89,3.91
Total Current Assets,78.94,79.58,82.69,84.11,77.82,80.09,84.24,83.05,78.34,78.94,79.58,82.69,84.11,77.82,80.09,84.24,83.05
Total Current Liabilities,70.23,71.60,72.20,76.03,67.84,69.17,67.18,68.91,73.24,70.23,71.60,72.20,76.03,67.84,69.17,67.18,68.91
Current Ratio,1.12,1.11,1.15,1.11,1.15,1.16,1.25,1.21,1.07,1.12,1.11,1.15,1.11,1.15,1.16,1.25,1.21
Quick Ratio,0.17,0.16,0.19,0.15,0.20,0.21,0.31,0.25,0.10,0.17,0.16,0.19,0.15,0.20,0.21,0.31,0.25
