Gross Margin %,19.6,28.1,14.4,25.2,19.2,23.2,22.2,23.4,31.4,19.6,28.1,14.4,25.2,19.2,23.2,22.2,23.4
Operating Margin %,7.3,15.3,-26.9,10.8,5.4,9.5,9.6,7.1,20.8,7.3,15.3,-26.9,10.8,5.4,9.5,9.6,7.1
Earnings Per Share USD,1.09,3.14,-6.32,2.36,1.56,1.60,1.41,1.06,6.49,1.09,3.14,-6.32,2.36,1.56,1.60,1.41,1.06
Book Value Per Share USD,5.73,5.59,3.16,9.46,8.87,10.57,5.36,4.05,8.83,5.73,5.59,3.16,9.46,8.87,10.57,5.36,4.05
SG&A,4.06,3.84,5.48,5.19,5.18,4.86,4.05,4.66,3.53,4.06,3.84,5.48,5.19,5.18,4.86,4.05,4.66
R&D,7.98,7.70,9.72,8.09,7.96,8.74,8.54,10.70,6.73,7.98,7.70,9.72,8.09,7.96,8.74,8.54,10.70
Return on Assets %,5.85,20.99,-35.87,12.88,9.60,11.36,15.39,14.18,29.61,5.85,20.99,-35.87,12.88,9.60,11.36,15.39,14.18
Return on Equity %,19.70,75.75,-101.01,27.07,18.35,21.67,32.17,33.36,96.04,19.70,75.75,-101.01,27.07,18.35,21.67,32.17,33.36
Return on Invested Capital %,5.75,30.38,-58.99,16.94,11.89,16.89,22.42,20.76,42.50,5.75,30.38,-58.99,16.94,11.89,16.89,22.42,20.76
Cap Ex as a % of Sales,7.68,5.61,6.46,7.32,7.98,10.95,9.15,9.72,4.26,7.68,5.61,6.46,7.32,7.98,10.95,9.15,9.72
Total Current Assets,69.65,65.70,60.55,42.21,40.13,45.40,66.78,62.43,62.44,69.65,65.70,60.55,42.21,40.13,45.40,66.78,62.43
Total Current Liabilities,37.54,36.34,45.07,32.48,27.97,34.96,33.94,31.66,33.60,37.54,36.34,45.07,32.48,27.97,34.96,33.94,31.66
Current Ratio,1.86,1.81,1.34,1.30,1.43,1.30,1.97,1.97,1.86,1.86,1.81,1.34,1.30,1.43,1.30,1.97,1.97
Quick Ratio,1.34,1.31,0.81,0.78,0.95,0.95,1.65,1.50,1.31,1.34,1.31,0.81,0.78,0.95,0.95,1.65,1.50
