Gross Margin %,83.1,81.5,80.0,79.2,76.6,76.3,82.5,82.5,83.9,83.1,81.5,80.0,79.2,76.6,76.3,82.5,82.5
Operating Margin %,14.2,15.6,-105.2,10.3,10.0,6.6,31.7,27.5,16.0,14.2,15.6,-105.2,10.3,10.0,6.6,31.7,27.5
Earnings Per Share USD,0.76,0.87,-8.10,0.52,0.41,0.15,0.74,0.54,1.57,0.76,0.87,-8.10,0.52,0.41,0.15,0.74,0.54
Book Value Per Share USD,5.93,5.64,5.05,13.07,12.88,13.10,5.22,3.90,7.04,5.93,5.64,5.05,13.07,12.88,13.10,5.22,3.90
SG&A,48.66,45.43,44.37,47.03,44.71,42.14,37.14,40.38,48.31,48.66,45.43,44.37,47.03,44.71,42.14,37.14,40.38
R&D,13.93,14.32,14.30,15.24,16.67,16.04,12.86,13.49,14.40,13.93,14.32,14.30,15.24,16.67,16.04,12.86,13.49
Return on Assets %,4.99,6.53,-46.83,2.59,2.27,1.33,10.65,9.60,9.11,4.99,6.53,-46.83,2.59,2.27,1.33,10.65,9.60
Return on Equity %,13.16,16.81,-90.19,4.11,3.20,1.81,17.49,17.69,24.36,13.16,16.81,-90.19,4.11,3.20,1.81,17.49,17.69
Return on Invested Capital %,6.72,9.65,-69.95,3.20,2.56,1.51,17.09,12.97,15.17,6.72,9.65,-69.95,3.20,2.56,1.51,17.09,12.97
Cap Ex as a % of Sales,4.33,4.14,4.43,4.66,8.33,6.62,3.54,5.95,4.25,4.33,4.14,4.43,4.66,8.33,6.62,3.54,5.95
Total Current Assets,35.27,38.74,31.00,20.62,22.93,21.82,65.70,63.78,35.58,35.27,38.74,31.00,20.62,22.93,21.82,65.70,63.78
Total Current Liabilities,38.47,33.57,33.01,21.00,18.69,19.41,30.30,28.88,34.60,38.47,33.57,33.01,21.00,18.69,19.41,30.30,28.88
Current Ratio,0.92,1.15,0.94,0.98,1.23,1.12,2.17,2.21,1.03,0.92,1.15,0.94,0.98,1.23,1.12,2.17,2.21
Quick Ratio,0.81,1.03,0.80,0.84,1.10,1.02,2.05,2.07,0.92,0.81,1.03,0.80,0.84,1.10,1.02,2.05,2.07
