Gross Margin %,54.7,56.2,54.9,53.9,53.8,53.6,54.2,,55.9,54.7,56.2,54.9,53.9,53.8,53.6,54.2,
Operating Margin %,19.3,21.4,19.8,18.9,18.8,19.5,19.4,14.8,21.8,19.3,21.4,19.8,18.9,18.8,19.5,19.4,14.8
Earnings Per Share USD,2.05,1.77,1.46,1.39,1.10,1.06,1.14,0.76,2.44,2.05,1.77,1.46,1.39,1.10,1.06,1.14,0.76
Book Value Per Share USD,8.92,7.07,5.39,4.41,3.49,,,,10.74,8.92,7.07,5.39,4.41,3.49,,,
SG&A,28.07,27.17,28.26,28.83,27.61,26.50,26.65,,27.32,28.07,27.17,28.26,28.83,27.61,26.50,26.65,
R&D,7.37,7.59,6.85,6.13,7.40,7.56,8.18,,6.87,7.37,7.59,6.85,6.13,7.40,7.56,8.18,
Return on Assets %,15.69,17.44,16.94,18.36,17.41,20.06,23.12,16.54,14.75,15.69,17.44,16.94,18.36,17.41,20.06,23.12,16.54
Return on Equity %,26.31,28.68,30.11,35.51,32.73,34.66,42.87,31.80,25.60,26.31,28.68,30.11,35.51,32.73,34.66,42.87,31.80
Return on Invested Capital %,21.64,28.68,30.11,35.51,32.73,34.66,42.87,31.80,21.69,21.64,28.68,30.11,35.51,32.73,34.66,42.87,31.80
Cap Ex as a % of Sales,4.66,4.29,5.15,4.14,5.88,4.40,3.75,,5.55,4.66,4.29,5.15,4.14,5.88,4.40,3.75,
Total Current Assets,53.98,74.67,73.42,70.91,67.47,50.05,,,50.03,53.98,74.67,73.42,70.91,67.47,50.05,,
Total Current Liabilities,26.57,30.22,34.61,37.76,44.20,39.18,,,26.29,26.57,30.22,34.61,37.76,44.20,39.18,,
Current Ratio,2.03,2.47,2.12,1.88,1.53,1.28,,,1.90,2.03,2.47,2.12,1.88,1.53,1.28,,
Quick Ratio,1.82,2.26,1.93,1.65,1.36,0.96,,,1.73,1.82,2.26,1.93,1.65,1.36,0.96,,
