Gross Margin %,80.2,79.6,77.8,75.4,,,,,79.5,80.2,79.6,77.8,75.4,,,,
Operating Margin %,59.4,56.9,51.2,43.1,-40.4,24.8,17.0,17.7,20.5,59.4,56.9,51.2,43.1,-40.4,24.8,17.0,17.7
Earnings Per Share USD,5.16,2.71,2.04,0.96,,,,,3.16,5.16,2.71,2.04,0.96,,,,
Book Value Per Share USD,32.56,29.95,27.41,20.55,,,,,34.06,32.56,29.95,27.41,20.55,,,,
SG&A,17.64,19.95,23.28,28.52,22.06,22.29,,,16.40,17.64,19.95,23.28,28.52,22.06,22.29,,
Return on Assets %,10.71,9.03,7.00,4.08,-29.27,15.92,14.29,10.00,5.73,10.71,9.03,7.00,4.08,-29.27,15.92,14.29,10.00
Return on Equity %,14.19,12.31,10.62,7.79,,128.26,,,7.93,14.19,12.31,10.62,7.79,,128.26,,
Return on Invested Capital %,14.10,12.09,10.24,6.91,,89.16,,,7.93,14.10,12.09,10.24,6.91,,89.16,,
Cap Ex as a % of Sales,3.84,2.99,4.43,6.63,,,,,3.61,3.84,2.99,4.43,6.63,,,,
Total Current Assets,26.44,26.14,28.63,31.94,57.10,53.78,53.84,40.10,29.46,26.44,26.14,28.63,31.94,57.10,53.78,53.84,40.10
Total Current Liabilities,9.93,10.47,13.76,20.48,74.76,47.00,48.27,46.64,19.88,9.93,10.47,13.76,20.48,74.76,47.00,48.27,46.64
Current Ratio,2.66,2.50,2.08,1.56,0.76,1.14,1.12,0.86,1.48,2.66,2.50,2.08,1.56,0.76,1.14,1.12,0.86
Quick Ratio,1.27,1.41,1.30,0.95,0.16,0.66,0.10,0.16,0.52,1.27,1.41,1.30,0.95,0.16,0.66,0.10,0.16
