Gross Margin %,18.8,24.4,17.9,21.5,16.5,19.1,16.2,15.2,29.2,18.8,24.4,17.9,21.5,16.5,19.1,16.2,15.2
Operating Margin %,8.2,15.5,7.0,12.5,7.6,8.4,5.4,10.1,14.2,8.2,15.5,7.0,12.5,7.6,8.4,5.4,10.1
Earnings Per Share USD,3.09,5.93,2.08,3.84,2.50,1.76,0.91,0.70,6.58,3.09,5.93,2.08,3.84,2.50,1.76,0.91,0.70
Book Value Per Share USD,23.61,20.55,14.32,12.18,7.84,5.24,3.29,2.34,31.17,23.61,20.55,14.32,12.18,7.84,5.24,3.29,2.34
SG&A,3.22,2.69,2.70,2.72,3.27,3.82,4.24,3.47,4.15,3.22,2.69,2.70,2.72,3.27,3.82,4.24,3.47
R&D,7.38,6.20,6.83,5.75,5.60,6.85,6.55,6.60,8.45,7.38,6.20,6.83,5.75,5.60,6.85,6.55,6.60
Return on Assets %,9.40,21.90,9.25,22.30,22.68,21.55,14.44,14.94,14.44,9.40,21.90,9.25,22.30,22.68,21.55,14.44,14.94
Return on Equity %,14.24,34.98,15.96,39.30,39.26,42.45,33.35,37.13,24.50,14.24,34.98,15.96,39.30,39.26,42.45,33.35,37.13
Return on Invested Capital %,13.16,31.28,12.93,32.98,38.11,39.97,30.28,31.38,20.31,13.16,31.28,12.93,32.98,38.11,39.97,30.28,31.38
Cap Ex as a % of Sales,8.17,7.48,6.96,7.62,5.93,6.95,6.41,4.32,5.75,8.17,7.48,6.96,7.62,5.93,6.95,6.41,4.32
Total Current Assets,67.59,64.41,61.05,56.02,69.94,71.97,74.35,73.96,50.27,67.59,64.41,61.05,56.02,69.94,71.97,74.35,73.96
Total Current Liabilities,26.73,27.61,28.82,32.08,38.95,41.43,51.52,50.63,28.38,26.73,27.61,28.82,32.08,38.95,41.43,51.52,50.63
Current Ratio,2.53,2.33,2.12,1.75,1.80,1.74,1.44,1.46,1.77,2.53,2.33,2.12,1.75,1.80,1.74,1.44,1.46
Quick Ratio,2.16,1.97,1.78,1.35,1.42,1.37,1.22,1.18,1.38,2.16,1.97,1.78,1.35,1.42,1.37,1.22,1.18
