Gross Margin %,43.5,42.6,43.4,41.4,42.7,45.6,46.9,,43.6,43.5,42.6,43.4,41.4,42.7,45.6,46.9,
Operating Margin %,25.2,25.0,25.2,25.7,27.0,29.3,31.8,,23.5,25.2,25.0,25.2,25.7,27.0,29.3,31.8,
Earnings Per Share USD,1.84,1.36,1.21,1.24,1.11,1.19,0.98,,1.69,1.84,1.36,1.21,1.24,1.11,1.19,0.98,
Book Value Per Share USD,1.45,0.89,0.51,-0.01,0.07,-0.41,,,1.64,1.45,0.89,0.51,-0.01,0.07,-0.41,,
SG&A,18.29,17.61,18.22,15.79,15.71,16.29,15.04,,20.13,18.29,17.61,18.22,15.79,15.71,16.29,15.04,
Return on Assets %,13.71,11.91,13.13,16.18,15.44,18.41,20.13,,11.07,13.71,11.91,13.13,16.18,15.44,18.41,20.13,
Return on Equity %,157.75,194.38,491.49,,,73.21,32.98,,111.79,157.75,194.38,491.49,,,73.21,32.98,
Return on Invested Capital %,23.93,21.30,22.34,27.86,,29.33,31.17,,17.81,23.93,21.30,22.34,27.86,,29.33,31.17,
Cap Ex as a % of Sales,2.96,2.19,1.95,1.34,3.92,4.53,1.63,,4.73,2.96,2.19,1.95,1.34,3.92,4.53,1.63,
Total Current Assets,49.20,62.90,58.74,44.87,54.20,50.85,51.75,,51.67,49.20,62.90,58.74,44.87,54.20,50.85,51.75,
Total Current Liabilities,43.31,44.29,46.36,35.40,48.19,35.52,26.81,,47.98,43.31,44.29,46.36,35.40,48.19,35.52,26.81,
Current Ratio,1.14,1.42,1.27,1.27,1.12,1.43,1.93,,1.08,1.14,1.42,1.27,1.27,1.12,1.43,1.93,
Quick Ratio,1.14,0.63,0.53,1.22,1.12,0.75,1.18,,0.95,1.14,0.63,0.53,1.22,1.12,0.75,1.18,
