Gross Margin % 2009,40.1
Gross Margin % 2010,43.8
Gross Margin % YoY % change,-3.700
Operating Margin % 2009,-4.0
Operating Margin % 2010,3.6
Operating Margin % YoY % change,-7.600
Earnings Per Share USD 2009,-0.28
Earnings Per Share USD 2010,0.31
Earnings Per Share USD YoY % change,-0.590
Book Value Per Share USD 2009,4.21
Book Value Per Share USD 2010,4.69
Book Value Per Share USD YoY % change,-0.480
SG&A 2009,28.07
SG&A 2010,24.22
SG&A YoY % change,3.850
R&D 2009,12.82
R&D 2010,13.29
R&D YoY % change,-0.470
Return on Assets % 2009,-3.66
Return on Assets % 2010,3.92
Return on Assets % YoY % change,-7.580
Return on Equity % 2009,-6.99
Return on Equity % 2010,7.25
Return on Equity % YoY % change,-14.240
Return on Invested Capital % 2009,-7.20
Return on Invested Capital % 2010,4.36
Return on Invested Capital % YoY % change,-11.560
Cap Ex as a % of Sales 2009,3.04
Cap Ex as a % of Sales 2010,6.47
Cap Ex as a % of Sales YoY % change,-3.430
Total Current Assets 2009,63.08
Total Current Assets 2010,66.85
Total Current Assets YoY % change,-3.770
Total Current Liabilities 2009,20.60
Total Current Liabilities 2010,21.46
Total Current Liabilities YoY % change,-0.860
Current Ratio 2009,3.06
Current Ratio 2010,3.12
Current Ratio YoY % change,-0.060
Quick Ratio 2009,2.40
Quick Ratio 2010,2.45
Quick Ratio YoY % change,-0.050
