Accumulator Distribution,-1011340.000
1 Day % price movement,0.000
7 Day % price movement,-0.640
14 Day % price movement,0.170
30 Day % price movement,0.890
60 Day % price movement,-0.290
90 Day % price movement,0.410
7 Day Simple Moving Average,10.397
14 Day Simple Moving Average,10.098
30 Day Simple Moving Average,10.336
60 Day Simple Moving Average,10.805
90 Day Simple Moving Average,11.185
180 Day Simple Moving Average,13.890
1 Day % Rate of change,0.000
7 Day % Rate of change,6.130
14 Day % Rate of change,-1.628
30 Day % Rate of change,-8.525
60 Day % Rate of change,2.778
90 Day % Rate of change,-3.927
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-127.429
7 day force index,364.082
14 day force index,200.245
30 day force index,-109.225
60 day force index,-44.373
90 day force index,-66.559
