1 Day % price movement,0.867
7 Day % price movement,-1.741
14 Day % price movement,2.987
30 Day % price movement,8.319
60 Day % price movement,18.712
90 Day % price movement,39.163
7 Day Simple Moving Average,37.143
14 Day Simple Moving Average,36.831
30 Day Simple Moving Average,35.611
60 Day Simple Moving Average,34.147
90 Day Simple Moving Average,32.536
180 Day Simple Moving Average,29.629
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.654
14 Day % Rate of change,2.059
30 Day % Rate of change,6.880
60 Day % Rate of change,15.033
90 Day % Rate of change,27.519
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-531.805
7 day force index,-1265.695
14 day force index,-712.618
30 day force index,300.470
60 day force index,1058.291
90 day force index,1731.689
