1 Day % price movement,0.285
7 Day % price movement,-2.344
14 Day % price movement,-0.565
30 Day % price movement,6.077
60 Day % price movement,10.714
90 Day % price movement,33.437
7 Day Simple Moving Average,39.421
14 Day Simple Moving Average,39.437
30 Day Simple Moving Average,38.813
60 Day Simple Moving Average,37.418
90 Day Simple Moving Average,35.374
180 Day Simple Moving Average,33.106
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.692
14 Day % Rate of change,-0.854
30 Day % Rate of change,5.461
60 Day % Rate of change,9.420
90 Day % Rate of change,24.845
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-862.952
7 day force index,-1625.740
14 day force index,-1949.347
30 day force index,-1402.297
60 day force index,-1022.829
90 day force index,-539.345
