Gross Margin % 2009,77.0
Gross Margin % 2010,78.1
Gross Margin % YoY % change,-1.100
Operating Margin % 2009,48.2
Operating Margin % 2010,51.7
Operating Margin % YoY % change,-3.500
Earnings Per Share USD 2009,1.58
Earnings Per Share USD 2010,2.50
Earnings Per Share USD YoY % change,-0.920
Book Value Per Share USD 2009,0.18
Book Value Per Share USD 2010,2.22
Book Value Per Share USD YoY % change,-2.040
SG&A 2009,11.84
SG&A 2010,11.17
SG&A YoY % change,0.670
R&D 2009,17.01
R&D 2010,15.26
R&D YoY % change,1.750
Return on Assets % 2009,23.99
Return on Assets % 2010,36.05
Return on Assets % YoY % change,-12.060
Return on Equity % 2009,212.98
Return on Equity % 2010,212.98
Return on Equity % YoY % change,0.000
Return on Invested Capital % 2009,43.14
Return on Invested Capital % 2010,43.14
Return on Invested Capital % YoY % change,0.000
Cap Ex as a % of Sales 2009,3.28
Cap Ex as a % of Sales 2010,8.11
Cap Ex as a % of Sales YoY % change,-4.830
Total Current Assets 2009,79.48
Total Current Assets 2010,76.40
Total Current Assets YoY % change,3.080
Total Current Liabilities 2009,36.62
Total Current Liabilities 2010,11.21
Total Current Liabilities YoY % change,25.410
Current Ratio 2009,2.17
Current Ratio 2010,6.82
Current Ratio YoY % change,-4.650
Quick Ratio 2009,1.95
Quick Ratio 2010,5.97
Quick Ratio YoY % change,-4.020
