Accumulator Distribution,-739848.276
1 Day % price movement,0.000
7 Day % price movement,-0.450
14 Day % price movement,-0.260
30 Day % price movement,0.630
60 Day % price movement,-0.650
90 Day % price movement,-2.490
7 Day Simple Moving Average,30.093
14 Day Simple Moving Average,29.582
30 Day Simple Moving Average,29.829
60 Day Simple Moving Average,30.636
90 Day Simple Moving Average,29.967
180 Day Simple Moving Average,30.881
1 Day % Rate of change,0.000
7 Day % Rate of change,1.499
14 Day % Rate of change,0.866
30 Day % Rate of change,-2.098
60 Day % Rate of change,2.165
90 Day % Rate of change,8.292
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-128.734
7 day force index,-25.747
14 day force index,-68.658
30 day force index,-240.303
60 day force index,-198.464
90 day force index,-131.416
