Gross Margin % 2009,45.5
Gross Margin % 2010,46.2
Gross Margin % YoY % change,-0.700
Operating Margin % 2009,19.9
Operating Margin % 2010,24.8
Operating Margin % YoY % change,-4.900
Earnings Per Share USD 2009,2.71
Earnings Per Share USD 2010,5.79
Earnings Per Share USD YoY % change,-3.080
Book Value Per Share USD 2009,14.04
Book Value Per Share USD 2010,19.99
Book Value Per Share USD YoY % change,-5.950
SG&A 2009,9.48
SG&A 2010,9.52
SG&A YoY % change,-0.040
R&D 2009,15.04
R&D 2010,11.53
R&D YoY % change,3.510
Return on Assets % 2009,15.62
Return on Assets % 2010,22.12
Return on Assets % YoY % change,-6.500
Return on Equity % 2009,21.52
Return on Equity % 2010,34.16
Return on Equity % YoY % change,-12.640
Return on Invested Capital % 2009,21.03
Return on Invested Capital % 2010,28.73
Return on Invested Capital % YoY % change,-7.700
Cap Ex as a % of Sales 2009,1.67
Cap Ex as a % of Sales 2010,3.94
Cap Ex as a % of Sales YoY % change,-2.270
Total Current Assets 2009,70.62
Total Current Assets 2010,80.76
Total Current Assets YoY % change,-10.140
Total Current Liabilities 2009,22.46
Total Current Liabilities 2010,16.87
Total Current Liabilities YoY % change,5.590
Current Ratio 2009,3.14
Current Ratio 2010,4.79
Current Ratio YoY % change,-1.650
Quick Ratio 2009,2.37
Quick Ratio 2010,3.96
Quick Ratio YoY % change,-1.590
