Accumulator Distribution,-1327798.151
1 Day % price movement,0.000
7 Day % price movement,-0.310
14 Day % price movement,5.080
30 Day % price movement,4.580
60 Day % price movement,3.730
90 Day % price movement,0.500
7 Day Simple Moving Average,36.881
14 Day Simple Moving Average,37.352
30 Day Simple Moving Average,38.966
60 Day Simple Moving Average,40.929
90 Day Simple Moving Average,39.898
180 Day Simple Moving Average,41.977
1 Day % Rate of change,0.000
7 Day % Rate of change,0.837
14 Day % Rate of change,-13.722
30 Day % Rate of change,-12.372
60 Day % Rate of change,-10.076
90 Day % Rate of change,-1.351
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-51.493
7 day force index,780.972
14 day force index,-1626.310
30 day force index,-3115.306
60 day force index,-3431.771
90 day force index,-3452.154
