1 Day % price movement,0.000
7 Day % price movement,-0.550
14 Day % price movement,-0.270
30 Day % price movement,-0.130
60 Day % price movement,-1.130
90 Day % price movement,0.310
7 Day Simple Moving Average,5.820
14 Day Simple Moving Average,5.688
30 Day Simple Moving Average,5.659
60 Day Simple Moving Average,5.731
90 Day Simple Moving Average,5.945
180 Day Simple Moving Average,6.471
1 Day % Rate of change,0.000
7 Day % Rate of change,9.197
14 Day % Rate of change,4.515
30 Day % Rate of change,2.174
60 Day % Rate of change,18.896
90 Day % Rate of change,-5.184
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,550.783
7 day force index,1578.912
14 day force index,1753.327
30 day force index,1771.686
60 day force index,1955.280
90 day force index,1913.972
