1 Day % price movement,-1.455
7 Day % price movement,1.587
14 Day % price movement,-14.845
30 Day % price movement,-8.924
60 Day % price movement,-0.005
90 Day % price movement,7.152
7 Day Simple Moving Average,222.594
14 Day Simple Moving Average,229.209
30 Day Simple Moving Average,237.430
60 Day Simple Moving Average,238.885
90 Day Simple Moving Average,229.539
180 Day Simple Moving Average,222.842
1 Day % Rate of change,0.000
7 Day % Rate of change,2.994
14 Day % Rate of change,-15.724
30 Day % Rate of change,-8.201
60 Day % Rate of change,1.450
90 Day % Rate of change,8.032
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,149.235
7 day force index,977.684
14 day force index,-1954.410
30 day force index,-2454.732
60 day force index,-2435.360
90 day force index,-2177.068
