Accumulator Distribution,-894263.000
1 Day % price movement,0.000
7 Day % price movement,-1.180
14 Day % price movement,-1.960
30 Day % price movement,-1.840
60 Day % price movement,-3.340
90 Day % price movement,-4.890
7 Day Simple Moving Average,36.403
14 Day Simple Moving Average,35.368
30 Day Simple Moving Average,34.714
60 Day Simple Moving Average,34.905
90 Day Simple Moving Average,34.143
180 Day Simple Moving Average,35.255
1 Day % Rate of change,0.000
7 Day % Rate of change,3.221
14 Day % Rate of change,5.351
30 Day % Rate of change,5.023
60 Day % Rate of change,9.118
90 Day % Rate of change,13.350
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-187.795
7 day force index,228.037
14 day force index,634.927
30 day force index,636.045
60 day force index,857.934
90 day force index,995.706
