1 Day % price movement,2.465
7 Day % price movement,1.882
14 Day % price movement,1.305
30 Day % price movement,11.655
60 Day % price movement,8.430
90 Day % price movement,29.190
7 Day Simple Moving Average,22.819
14 Day Simple Moving Average,22.800
30 Day Simple Moving Average,22.099
60 Day Simple Moving Average,21.713
90 Day Simple Moving Average,21.017
180 Day Simple Moving Average,20.639
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.572
14 Day % Rate of change,-1.144
30 Day % Rate of change,8.231
60 Day % Rate of change,5.502
90 Day % Rate of change,20.687
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,6.986
7 day force index,3.493
14 day force index,-18.338
30 day force index,79.030
60 day force index,106.319
90 day force index,159.588
