1 Day % price movement,0.251
7 Day % price movement,-0.745
14 Day % price movement,2.717
30 Day % price movement,8.282
60 Day % price movement,14.064
90 Day % price movement,16.100
7 Day Simple Moving Average,28.043
14 Day Simple Moving Average,27.913
30 Day Simple Moving Average,26.989
60 Day Simple Moving Average,26.466
90 Day Simple Moving Average,25.783
180 Day Simple Moving Average,26.132
1 Day % Rate of change,0.000
7 Day % Rate of change,-1.003
14 Day % Rate of change,2.401
30 Day % Rate of change,7.417
60 Day % Rate of change,12.110
90 Day % Rate of change,13.651
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,1487.480
7 day force index,-495.827
14 day force index,3036.938
30 day force index,10288.402
60 day force index,15680.516
90 day force index,18678.717
