Gross Margin % 2009,32.0
Gross Margin % 2010,20.0
Gross Margin % YoY % change,12.000
Operating Margin % 2009,18.7
Operating Margin % 2010,8.6
Operating Margin % YoY % change,10.100
Earnings Per Share USD 2009,1.85
Earnings Per Share USD 2010,0.17
Earnings Per Share USD YoY % change,1.680
Book Value Per Share USD 2009,8.07
Book Value Per Share USD 2010,8.44
Book Value Per Share USD YoY % change,-0.370
SG&A 2009,6.22
SG&A 2010,6.74
SG&A YoY % change,-0.520
R&D 2009,7.36
R&D 2010,9.00
R&D YoY % change,-1.640
Return on Assets % 2009,14.15
Return on Assets % 2010,1.13
Return on Assets % YoY % change,13.020
Return on Equity % 2009,29.19
Return on Equity % 2010,2.03
Return on Equity % YoY % change,27.160
Return on Invested Capital % 2009,18.44
Return on Invested Capital % 2010,0.85
Return on Invested Capital % YoY % change,17.590
Cap Ex as a % of Sales 2009,7.26
Cap Ex as a % of Sales 2010,29.02
Cap Ex as a % of Sales YoY % change,-21.760
Total Current Assets 2009,43.10
Total Current Assets 2010,39.53
Total Current Assets YoY % change,3.570
Total Current Liabilities 2009,18.39
Total Current Liabilities 2010,16.81
Total Current Liabilities YoY % change,1.580
Current Ratio 2009,2.34
Current Ratio 2010,2.35
Current Ratio YoY % change,-0.010
Quick Ratio 2009,1.64
Quick Ratio 2010,1.47
Quick Ratio YoY % change,0.170
