Accumulator Distribution,-3521436.231
1 Day % price movement,0.000
7 Day % price movement,-0.750
14 Day % price movement,-0.470
30 Day % price movement,0.040
60 Day % price movement,-1.330
90 Day % price movement,-0.990
7 Day Simple Moving Average,6.190
14 Day Simple Moving Average,5.905
30 Day Simple Moving Average,5.893
60 Day Simple Moving Average,5.713
90 Day Simple Moving Average,5.831
180 Day Simple Moving Average,7.177
1 Day % Rate of change,0.000
7 Day % Rate of change,11.924
14 Day % Rate of change,7.472
30 Day % Rate of change,-0.636
60 Day % Rate of change,21.145
90 Day % Rate of change,15.739
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,305.191
7 day force index,4120.080
14 day force index,5646.036
30 day force index,4787.686
60 day force index,6065.674
90 day force index,6366.096
