Accumulator Distribution,-1487650.023
1 Day % price movement,0.000
7 Day % price movement,1.680
14 Day % price movement,5.970
30 Day % price movement,7.170
60 Day % price movement,53.950
90 Day % price movement,146.740
7 Day Simple Moving Average,70.831
14 Day Simple Moving Average,70.880
30 Day Simple Moving Average,70.341
60 Day Simple Moving Average,84.142
90 Day Simple Moving Average,114.092
180 Day Simple Moving Average,184.140
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.425
14 Day % Rate of change,-8.616
30 Day % Rate of change,-10.348
60 Day % Rate of change,-77.861
90 Day % Rate of change,-211.777
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-31.170
7 day force index,-3319.585
14 day force index,-4566.377
30 day force index,-9198.990
60 day force index,-19031.117
90 day force index,-33666.317
