Gross Margin % 2009,64.1
Gross Margin % 2010,65.0
Gross Margin % YoY % change,-0.900
Operating Margin % 2009,12.4
Operating Margin % 2010,16.1
Operating Margin % YoY % change,-3.700
Earnings Per Share USD 2009,1.13
Earnings Per Share USD 2010,1.71
Earnings Per Share USD YoY % change,-0.580
Book Value Per Share USD 2009,7.29
Book Value Per Share USD 2010,10.11
Book Value Per Share USD YoY % change,-2.820
SG&A 2009,38.98
SG&A 2010,36.08
SG&A YoY % change,2.900
R&D 2009,13.63
R&D 2010,12.66
R&D YoY % change,0.970
Return on Assets % 2009,6.69
Return on Assets % 2010,8.98
Return on Assets % YoY % change,-2.290
Return on Equity % 2009,19.10
Return on Equity % 2010,21.50
Return on Equity % YoY % change,-2.400
Return on Invested Capital % 2009,10.18
Return on Invested Capital % 2010,12.45
Return on Invested Capital % YoY % change,-2.270
Cap Ex as a % of Sales 2009,3.45
Cap Ex as a % of Sales 2010,4.35
Cap Ex as a % of Sales YoY % change,-0.900
Total Current Assets 2009,69.86
Total Current Assets 2010,74.90
Total Current Assets YoY % change,-5.040
Total Current Liabilities 2009,29.43
Total Current Liabilities 2010,39.69
Total Current Liabilities YoY % change,-10.260
Current Ratio 2009,2.37
Current Ratio 2010,1.89
Current Ratio YoY % change,0.480
Quick Ratio 2009,2.20
Quick Ratio 2010,1.75
Quick Ratio YoY % change,0.450
