1 Day % price movement,4.458
7 Day % price movement,4.287
14 Day % price movement,3.293
30 Day % price movement,8.076
60 Day % price movement,18.911
90 Day % price movement,46.081
7 Day Simple Moving Average,54.877
14 Day Simple Moving Average,54.575
30 Day Simple Moving Average,53.561
60 Day Simple Moving Average,52.931
90 Day Simple Moving Average,50.844
180 Day Simple Moving Average,44.559
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.164
14 Day % Rate of change,-1.128
30 Day % Rate of change,3.348
60 Day % Rate of change,12.154
90 Day % Rate of change,28.493
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,108.429
7 day force index,-207.821
14 day force index,158.125
30 day force index,1447.973
60 day force index,2267.963
90 day force index,3139.909
