Gross Margin % 2009,39.8
Gross Margin % 2010,51.4
Gross Margin % YoY % change,-11.600
Operating Margin % 2009,7.2
Operating Margin % 2010,16.2
Operating Margin % YoY % change,-9.000
Earnings Per Share USD 2009,0.43
Earnings Per Share USD 2010,0.94
Earnings Per Share USD YoY % change,-0.510
Book Value Per Share USD 2009,5.41
Book Value Per Share USD 2010,6.77
Book Value Per Share USD YoY % change,-1.360
SG&A 2009,11.81
SG&A 2010,10.15
SG&A YoY % change,1.660
R&D 2009,23.96
R&D 2010,25.08
R&D YoY % change,-1.120
Return on Assets % 2009,6.27
Return on Assets % 2010,11.57
Return on Assets % YoY % change,-5.300
Return on Equity % 2009,8.66
Return on Equity % 2010,15.86
Return on Equity % YoY % change,-7.200
Return on Invested Capital % 2009,8.49
Return on Invested Capital % 2010,15.69
Return on Invested Capital % YoY % change,-7.200
Cap Ex as a % of Sales 2009,2.76
Cap Ex as a % of Sales 2010,3.47
Cap Ex as a % of Sales YoY % change,-0.710
Total Current Assets 2009,71.79
Total Current Assets 2010,70.33
Total Current Assets YoY % change,1.460
Total Current Liabilities 2009,20.97
Total Current Liabilities 2010,16.75
Total Current Liabilities YoY % change,4.220
Current Ratio 2009,3.42
Current Ratio 2010,4.20
Current Ratio YoY % change,-0.780
Quick Ratio 2009,3.01
Quick Ratio 2010,3.73
Quick Ratio YoY % change,-0.720
