1 Day % price movement,2.727
7 Day % price movement,5.256
14 Day % price movement,8.579
30 Day % price movement,18.769
60 Day % price movement,47.850
90 Day % price movement,59.476
7 Day Simple Moving Average,15.031
14 Day Simple Moving Average,14.749
30 Day Simple Moving Average,14.443
60 Day Simple Moving Average,13.191
90 Day Simple Moving Average,12.356
180 Day Simple Moving Average,12.120
1 Day % Rate of change,0.000
7 Day % Rate of change,2.403
14 Day % Rate of change,5.390
30 Day % Rate of change,13.506
60 Day % Rate of change,30.519
90 Day % Rate of change,35.584
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,4010.807
7 day force index,6603.158
14 day force index,7703.685
30 day force index,10736.247
60 day force index,13560.931
90 day force index,15297.317
