Accumulator Distribution,-14745271.538
1 Day % price movement,0.000
7 Day % price movement,0.120
14 Day % price movement,5.670
30 Day % price movement,5.170
60 Day % price movement,4.420
90 Day % price movement,1.030
7 Day Simple Moving Average,25.729
14 Day Simple Moving Average,27.725
30 Day Simple Moving Average,29.282
60 Day Simple Moving Average,30.658
90 Day Simple Moving Average,29.811
180 Day Simple Moving Average,30.951
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.468
14 Day % Rate of change,-22.105
30 Day % Rate of change,-20.156
60 Day % Rate of change,-17.232
90 Day % Rate of change,-4.016
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-2875.328
7 day force index,-36612.509
14 day force index,-65557.477
30 day force index,-80748.793
60 day force index,-85373.279
90 day force index,-85702.744
