Gross Margin % 2009,67.3
Gross Margin % 2010,68.6
Gross Margin % YoY % change,-1.300
Operating Margin % 2009,36.2
Operating Margin % 2010,37.7
Operating Margin % YoY % change,-1.500
Earnings Per Share USD 2009,1.32
Earnings Per Share USD 2010,1.42
Earnings Per Share USD YoY % change,-0.100
Book Value Per Share USD 2009,3.87
Book Value Per Share USD 2010,4.13
Book Value Per Share USD YoY % change,-0.260
SG&A 2009,31.11
SG&A 2010,30.91
SG&A YoY % change,0.200
Return on Assets % 2009,9.21
Return on Assets % 2010,9.70
Return on Assets % YoY % change,-0.490
Return on Equity % 2009,34.77
Return on Equity % 2010,35.56
Return on Equity % YoY % change,-0.790
Return on Invested Capital % 2009,34.77
Return on Invested Capital % 2010,35.56
Return on Invested Capital % YoY % change,-0.790
Cap Ex as a % of Sales 2009,3.66
Cap Ex as a % of Sales 2010,4.82
Cap Ex as a % of Sales YoY % change,-1.160
Total Current Assets 2009,79.58
Total Current Assets 2010,78.94
Total Current Assets YoY % change,0.640
Total Current Liabilities 2009,71.60
Total Current Liabilities 2010,70.23
Total Current Liabilities YoY % change,1.370
Current Ratio 2009,1.11
Current Ratio 2010,1.12
Current Ratio YoY % change,-0.010
Quick Ratio 2009,0.16
Quick Ratio 2010,0.17
Quick Ratio YoY % change,-0.010
