Accumulator Distribution,896058.621
1 Day % price movement,0.000
7 Day % price movement,-0.650
14 Day % price movement,-0.350
30 Day % price movement,-1.790
60 Day % price movement,-3.340
90 Day % price movement,-3.790
7 Day Simple Moving Average,29.863
14 Day Simple Moving Average,29.739
30 Day Simple Moving Average,29.168
60 Day Simple Moving Average,28.928
90 Day Simple Moving Average,28.109
180 Day Simple Moving Average,29.165
1 Day % Rate of change,0.000
7 Day % Rate of change,2.159
14 Day % Rate of change,1.162
30 Day % Rate of change,5.945
60 Day % Rate of change,11.093
90 Day % Rate of change,12.587
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-121.267
7 day force index,-233.871
14 day force index,-212.217
30 day force index,86.619
60 day force index,505.638
90 day force index,730.848
