Gross Margin % 2009,68.0
Gross Margin % 2010,67.4
Gross Margin % YoY % change,0.600
Operating Margin % 2009,29.9
Operating Margin % 2010,33.6
Operating Margin % YoY % change,-3.700
Earnings Per Share USD 2009,1.96
Earnings Per Share USD 2010,2.52
Earnings Per Share USD YoY % change,-0.560
Book Value Per Share USD 2009,12.94
Book Value Per Share USD 2010,16.03
Book Value Per Share USD YoY % change,-3.090
SG&A 2009,14.94
SG&A 2010,13.00
SG&A YoY % change,1.940
R&D 2009,23.19
R&D 2010,20.02
R&D YoY % change,3.170
Return on Assets % 2009,11.19
Return on Assets % 2010,12.72
Return on Assets % YoY % change,-1.530
Return on Equity % 2009,15.77
Return on Equity % 2010,17.82
Return on Equity % YoY % change,-2.050
Return on Invested Capital % 2009,14.77
Return on Invested Capital % 2010,16.71
Return on Invested Capital % YoY % change,-1.940
Cap Ex as a % of Sales 2009,3.88
Cap Ex as a % of Sales 2010,3.96
Cap Ex as a % of Sales YoY % change,-0.080
Total Current Assets 2009,39.69
Total Current Assets 2010,39.24
Total Current Assets YoY % change,0.450
Total Current Liabilities 2009,17.89
Total Current Liabilities 2010,14.52
Total Current Liabilities YoY % change,3.370
Current Ratio 2009,2.22
Current Ratio 2010,2.70
Current Ratio YoY % change,-0.480
Quick Ratio 2009,2.01
Quick Ratio 2010,2.39
Quick Ratio YoY % change,-0.380
