Accumulator Distribution,-3630350.250
1 Day % price movement,0.000
7 Day % price movement,-1.210
14 Day % price movement,0.080
30 Day % price movement,1.680
60 Day % price movement,-3.830
90 Day % price movement,-6.770
7 Day Simple Moving Average,54.466
14 Day Simple Moving Average,53.894
30 Day Simple Moving Average,54.105
60 Day Simple Moving Average,53.942
90 Day Simple Moving Average,52.898
180 Day Simple Moving Average,53.971
1 Day % Rate of change,0.000
7 Day % Rate of change,2.212
14 Day % Rate of change,-0.146
30 Day % Rate of change,-3.071
60 Day % Rate of change,7.002
90 Day % Rate of change,12.377
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-726.070
7 day force index,726.070
14 day force index,145.214
30 day force index,-1173.813
60 day force index,15.126
90 day force index,1019.523
