Gross Margin % 2009,83.5
Gross Margin % 2010,84.2
Gross Margin % YoY % change,0.838
Operating Margin % 2009,16.0
Operating Margin % 2010,17.6
Operating Margin % YoY % change,10.000
Earnings Per Share USD 2009,0.55
Earnings Per Share USD 2010,0.75
Earnings Per Share USD YoY % change,36.364
Book Value Per Share USD 2009,6.69
Book Value Per Share USD 2010,7.26
Book Value Per Share USD YoY % change,8.520
SG&A 2009,48.62
SG&A 2010,48.18
SG&A YoY % change,-0.905
R&D 2009,18.83
R&D 2010,18.42
R&D YoY % change,-2.177
Return on Assets % 2009,5.27
Return on Assets % 2010,6.25
Return on Assets % YoY % change,18.596
Return on Equity % 2009,8.93
Return on Equity % 2010,10.90
Return on Equity % YoY % change,22.060
Return on Invested Capital % 2009,8.93
Return on Invested Capital % 2010,10.90
Return on Invested Capital % YoY % change,22.060
Cap Ex as a % of Sales 2009,5.15
Cap Ex as a % of Sales 2010,4.56
Cap Ex as a % of Sales YoY % change,-11.456
Total Current Assets 2009,53.86
Total Current Assets 2010,49.03
Total Current Assets YoY % change,-8.968
Total Current Liabilities 2009,30.91
Total Current Liabilities 2010,33.17
Total Current Liabilities YoY % change,7.312
Current Ratio 2009,1.74
Current Ratio 2010,1.48
Current Ratio YoY % change,-14.943
Quick Ratio 2009,1.54
Quick Ratio 2010,1.29
Quick Ratio YoY % change,-16.234
