Accumulator Distribution,5901823.056
1 Day % price movement,0.000
7 Day % price movement,-0.440
14 Day % price movement,-0.040
30 Day % price movement,0.360
60 Day % price movement,-5.680
90 Day % price movement,-5.420
7 Day Simple Moving Average,15.967
14 Day Simple Moving Average,15.789
30 Day Simple Moving Average,16.032
60 Day Simple Moving Average,15.481
90 Day Simple Moving Average,14.010
180 Day Simple Moving Average,14.724
1 Day % Rate of change,0.000
7 Day % Rate of change,2.683
14 Day % Rate of change,0.244
30 Day % Rate of change,-2.195
60 Day % Rate of change,34.634
90 Day % Rate of change,33.049
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,4494.465
7 day force index,7191.144
14 day force index,7681.450
30 day force index,6874.489
60 day force index,10061.473
90 day force index,11496.638
