Gross Margin % 2009,81.5
Gross Margin % 2010,83.1
Gross Margin % YoY % change,-1.600
Operating Margin % 2009,15.6
Operating Margin % 2010,14.2
Operating Margin % YoY % change,1.400
Earnings Per Share USD 2009,0.87
Earnings Per Share USD 2010,0.76
Earnings Per Share USD YoY % change,0.110
Book Value Per Share USD 2009,5.64
Book Value Per Share USD 2010,5.93
Book Value Per Share USD YoY % change,-0.290
SG&A 2009,45.43
SG&A 2010,48.66
SG&A YoY % change,-3.230
R&D 2009,14.32
R&D 2010,13.93
R&D YoY % change,0.390
Return on Assets % 2009,6.53
Return on Assets % 2010,4.99
Return on Assets % YoY % change,1.540
Return on Equity % 2009,16.81
Return on Equity % 2010,13.16
Return on Equity % YoY % change,3.650
Return on Invested Capital % 2009,9.65
Return on Invested Capital % 2010,6.72
Return on Invested Capital % YoY % change,2.930
Cap Ex as a % of Sales 2009,4.14
Cap Ex as a % of Sales 2010,4.33
Cap Ex as a % of Sales YoY % change,-0.190
Total Current Assets 2009,38.74
Total Current Assets 2010,35.27
Total Current Assets YoY % change,3.470
Total Current Liabilities 2009,33.57
Total Current Liabilities 2010,38.47
Total Current Liabilities YoY % change,-4.900
Current Ratio 2009,1.15
Current Ratio 2010,0.92
Current Ratio YoY % change,0.230
Quick Ratio 2009,1.03
Quick Ratio 2010,0.81
Quick Ratio YoY % change,0.220
