1 Day % price movement,2.509
7 Day % price movement,2.693
14 Day % price movement,0.175
30 Day % price movement,0.117
60 Day % price movement,14.172
90 Day % price movement,24.168
7 Day Simple Moving Average,16.729
14 Day Simple Moving Average,16.875
30 Day Simple Moving Average,16.956
60 Day Simple Moving Average,16.588
90 Day Simple Moving Average,15.961
180 Day Simple Moving Average,15.349
1 Day % Rate of change,0.000
7 Day % Rate of change,0.179
14 Day % Rate of change,-2.330
30 Day % Rate of change,-2.389
60 Day % Rate of change,10.215
90 Day % Rate of change,17.443
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-115.163
7 day force index,-38.388
14 day force index,-479.845
30 day force index,-571.015
60 day force index,-136.756
90 day force index,232.725
