1 Day % price movement,3.450
7 Day % price movement,1.140
14 Day % price movement,0.354
30 Day % price movement,6.583
60 Day % price movement,13.698
90 Day % price movement,43.512
7 Day Simple Moving Average,41.686
14 Day Simple Moving Average,42.284
30 Day Simple Moving Average,41.771
60 Day Simple Moving Average,40.483
90 Day Simple Moving Average,38.833
180 Day Simple Moving Average,35.157
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.284
14 Day % Rate of change,-3.086
30 Day % Rate of change,2.940
60 Day % Rate of change,9.014
90 Day % Rate of change,27.915
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-270.106
7 day force index,-793.780
14 day force index,-1052.861
30 day force index,-894.380
60 day force index,-766.218
90 day force index,-573.285
