Accumulator Distribution,-1098265.865
1 Day % price movement,0.000
7 Day % price movement,-0.210
14 Day % price movement,1.160
30 Day % price movement,2.680
60 Day % price movement,-0.930
90 Day % price movement,-1.180
7 Day Simple Moving Average,30.947
14 Day Simple Moving Average,30.835
30 Day Simple Moving Average,31.377
60 Day Simple Moving Average,32.684
90 Day Simple Moving Average,31.477
180 Day Simple Moving Average,33.162
1 Day % Rate of change,0.000
7 Day % Rate of change,0.682
14 Day % Rate of change,-3.765
30 Day % Rate of change,-8.698
60 Day % Rate of change,3.019
90 Day % Rate of change,3.830
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-381.731
7 day force index,-572.596
14 day force index,-1252.938
30 day force index,-1783.975
60 day force index,-1636.978
90 day force index,-1567.327
