Gross Margin % 2009,54.3
Gross Margin % 2010,49.9
Gross Margin % YoY % change,4.400
Operating Margin % 2009,25.7
Operating Margin % 2010,16.5
Operating Margin % YoY % change,9.200
Earnings Per Share USD 2009,1.73
Earnings Per Share USD 2010,1.65
Earnings Per Share USD YoY % change,0.080
Book Value Per Share USD 2009,6.16
Book Value Per Share USD 2010,8.18
Book Value Per Share USD YoY % change,-2.020
SG&A 2009,14.30
SG&A 2010,16.35
SG&A YoY % change,-2.050
R&D 2009,12.25
R&D 2010,13.69
R&D YoY % change,-1.440
Return on Assets % 2009,24.94
Return on Assets % 2010,18.70
Return on Assets % YoY % change,6.240
Return on Equity % 2009,42.50
Return on Equity % 2010,28.46
Return on Equity % YoY % change,14.040
Return on Invested Capital % 2009,33.96
Return on Invested Capital % 2010,24.36
Return on Invested Capital % YoY % change,9.600
Cap Ex as a % of Sales 2009,4.73
Cap Ex as a % of Sales 2010,6.02
Cap Ex as a % of Sales YoY % change,-1.290
Total Current Assets 2009,64.99
Total Current Assets 2010,50.25
Total Current Assets YoY % change,14.740
Total Current Liabilities 2009,20.09
Total Current Liabilities 2010,17.07
Total Current Liabilities YoY % change,3.020
Current Ratio 2009,3.24
Current Ratio 2010,2.94
Current Ratio YoY % change,0.300
Quick Ratio 2009,2.70
Quick Ratio 2010,2.14
Quick Ratio YoY % change,0.560
