Accumulator Distribution,526038.462
1 Day % price movement,0.000
7 Day % price movement,-0.210
14 Day % price movement,0.090
30 Day % price movement,-0.090
60 Day % price movement,-1.490
90 Day % price movement,-2.160
7 Day Simple Moving Average,13.549
14 Day Simple Moving Average,13.367
30 Day Simple Moving Average,13.164
60 Day Simple Moving Average,13.390
90 Day Simple Moving Average,12.837
180 Day Simple Moving Average,13.693
1 Day % Rate of change,0.000
7 Day % Rate of change,1.541
14 Day % Rate of change,-0.660
30 Day % Rate of change,0.660
60 Day % Rate of change,10.932
90 Day % Rate of change,15.847
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,239.348
7 day force index,299.184
14 day force index,89.755
30 day force index,-51.289
60 day force index,161.346
90 day force index,273.006
