1 Day % price movement,2.341
7 Day % price movement,2.876
14 Day % price movement,2.608
30 Day % price movement,1.157
60 Day % price movement,3.010
90 Day % price movement,10.456
7 Day Simple Moving Average,15.347
14 Day Simple Moving Average,15.306
30 Day Simple Moving Average,15.362
60 Day Simple Moving Average,15.503
90 Day Simple Moving Average,15.260
180 Day Simple Moving Average,15.051
1 Day % Rate of change,0.000
7 Day % Rate of change,0.520
14 Day % Rate of change,0.260
30 Day % Rate of change,-1.170
60 Day % Rate of change,0.650
90 Day % Rate of change,7.347
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-4.749
7 day force index,45.114
14 day force index,49.863
30 day force index,51.643
60 day force index,54.611
90 day force index,75.091
