1 Day % price movement,0.708
7 Day % price movement,0.894
14 Day % price movement,-0.213
30 Day % price movement,7.066
60 Day % price movement,15.531
90 Day % price movement,32.510
7 Day Simple Moving Average,32.434
14 Day Simple Moving Average,32.526
30 Day Simple Moving Average,32.426
60 Day Simple Moving Average,30.905
90 Day Simple Moving Average,28.948
180 Day Simple Moving Average,27.030
1 Day % Rate of change,0.000
7 Day % Rate of change,0.185
14 Day % Rate of change,-0.923
30 Day % Rate of change,5.938
60 Day % Rate of change,12.831
90 Day % Rate of change,24.000
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,0.000
7 day force index,281.578
14 day force index,-745.354
30 day force index,-62.113
60 day force index,1033.143
90 day force index,1858.208
