Accumulator Distribution,-2048469.614
1 Day % price movement,0.000
7 Day % price movement,-0.810
14 Day % price movement,-4.610
30 Day % price movement,-10.130
60 Day % price movement,-14.400
90 Day % price movement,-15.150
7 Day Simple Moving Average,101.579
14 Day Simple Moving Average,99.531
30 Day Simple Moving Average,96.526
60 Day Simple Moving Average,94.421
90 Day Simple Moving Average,92.212
180 Day Simple Moving Average,86.751
1 Day % Rate of change,0.000
7 Day % Rate of change,0.798
14 Day % Rate of change,4.541
30 Day % Rate of change,9.977
60 Day % Rate of change,14.183
90 Day % Rate of change,14.922
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-3481.393
7 day force index,-3287.982
14 day force index,-956.309
30 day force index,1227.621
60 day force index,3449.158
90 day force index,4641.857
