1 Day % price movement,0.000
7 Day % price movement,-0.460
14 Day % price movement,0.430
30 Day % price movement,-4.760
60 Day % price movement,-6.500
90 Day % price movement,-4.690
7 Day Simple Moving Average,31.247
14 Day Simple Moving Average,31.269
30 Day Simple Moving Average,29.450
60 Day Simple Moving Average,28.213
90 Day Simple Moving Average,28.165
180 Day Simple Moving Average,32.030
1 Day % Rate of change,0.000
7 Day % Rate of change,1.479
14 Day % Rate of change,-1.383
30 Day % Rate of change,15.305
60 Day % Rate of change,20.900
90 Day % Rate of change,15.080
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,492.317
7 day force index,600.916
14 day force index,340.278
30 day force index,1151.152
60 day force index,1638.039
90 day force index,1786.005
