1 Day % price movement,0.915
7 Day % price movement,1.462
14 Day % price movement,-0.107
30 Day % price movement,5.104
60 Day % price movement,6.598
90 Day % price movement,18.233
7 Day Simple Moving Average,18.430
14 Day Simple Moving Average,18.460
30 Day Simple Moving Average,18.321
60 Day Simple Moving Average,18.131
90 Day Simple Moving Average,17.708
180 Day Simple Moving Average,16.996
1 Day % Rate of change,0.000
7 Day % Rate of change,0.539
14 Day % Rate of change,-1.023
30 Day % Rate of change,3.985
60 Day % Rate of change,5.331
90 Day % Rate of change,14.647
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,49.935
7 day force index,274.641
14 day force index,187.255
30 day force index,518.072
60 day force index,658.513
90 day force index,892.582
