Gross Margin % 2009,63.4
Gross Margin % 2010,65.4
Gross Margin % YoY % change,3.155
Operating Margin % 2009,23.6
Operating Margin % 2010,33.6
Operating Margin % YoY % change,42.373
Earnings Per Share USD 2009,1.29
Earnings Per Share USD 2010,2.39
Earnings Per Share USD YoY % change,85.271
Book Value Per Share USD 2009,7.66
Book Value Per Share USD 2010,9.25
Book Value Per Share USD YoY % change,20.757
SG&A 2009,17.86
SG&A 2010,14.80
SG&A YoY % change,-17.133
R&D 2009,20.15
R&D 2010,16.56
R&D YoY % change,-17.816
Return on Assets % 2009,11.90
Return on Assets % 2010,17.53
Return on Assets % YoY % change,47.311
Return on Equity % 2009,18.53
Return on Equity % 2010,28.31
Return on Equity % YoY % change,52.779
Return on Invested Capital % 2009,13.68
Return on Invested Capital % 2010,20.92
Return on Invested Capital % YoY % change,52.924
Cap Ex as a % of Sales 2009,1.54
Cap Ex as a % of Sales 2010,2.74
Cap Ex as a % of Sales YoY % change,77.922
Total Current Assets 2009,59.89
Total Current Assets 2010,63.34
Total Current Assets YoY % change,5.761
Total Current Liabilities 2009,11.22
Total Current Liabilities 2010,8.89
Total Current Liabilities YoY % change,-20.766
Current Ratio 2009,5.34
Current Ratio 2010,7.12
Current Ratio YoY % change,33.333
Quick Ratio 2009,4.62
Quick Ratio 2010,6.01
Quick Ratio YoY % change,30.087
