Accumulator Distribution,1204543.222
1 Day % price movement,0.000
7 Day % price movement,-0.140
14 Day % price movement,-0.660
30 Day % price movement,-0.790
60 Day % price movement,-0.480
90 Day % price movement,-2.980
7 Day Simple Moving Average,16.044
14 Day Simple Moving Average,15.576
30 Day Simple Moving Average,15.558
60 Day Simple Moving Average,15.714
90 Day Simple Moving Average,15.144
180 Day Simple Moving Average,15.166
1 Day % Rate of change,0.000
7 Day % Rate of change,0.868
14 Day % Rate of change,4.092
30 Day % Rate of change,4.898
60 Day % Rate of change,2.976
90 Day % Rate of change,18.475
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,0.000
7 day force index,5528.853
14 day force index,6043.796
30 day force index,6599.391
60 day force index,6741.678
90 day force index,7683.480
