STOCK,BUY,VALUATIONS & RETURNS,,,,,,,,
,03/01/2011,01/04/11,,01/07/11,,03/10/11,,30/12/11,,
,CLOSE,CLOSE,RETURN,CLOSE,RETURN,CLOSE,RETURN,CLOSE,RETURN,CHECK
NFLX,178.41,242.09,35.6930665321,267.99,50.2101900118,113.25,-36.5226164453,69.29,-61.1624908918,69.29
RHT,46.56,46.31,-0.5369415808,46.4,-0.3436426117,40.46,-13.1013745704,41.29,-11.3187285223,41.29
XLNX,29.42,32.15,9.2794017675,37.06,25.9687287559,27.06,-8.0217539089,32.06,8.9734874235,32.06
STX,14.97,14.94,-0.2004008016,16.36,9.2852371409,9.49,-36.6065464262,16.4,9.5524382098,16.4
AKAM,48.26,37.6,-22.0886862826,31.49,-34.7492747617,18.65,-61.3551595524,32.28,-33.1123083299,32.28
LLTC,34.68,33.44,-3.5755478662,33.43,-3.6043829296,27.41,-20.9630911188,30.03,-13.4083044983,30.03
TXN,32.73,34.23,4.5829514207,33.52,2.4136877482,26.46,-19.1567369386,29.11,-11.0601894287,29.11
MSFT,27.98,25.48,-8.9349535382,26.02,-7.005003574,24.53,-12.3302358828,25.96,-7.2194424589,25.96
JNPR,37.24,41.26,10.7948442535,31.97,-14.1514500537,17.08,-54.1353383459,20.41,-45.1933404941,20.41
CSCO,20.49,17.04,-16.8374816984,15.86,-22.5963884822,15.19,-25.8662762323,18.08,-11.7618350415,18.08
CTSH,75.36,82.41,9.3550955414,74.8,-0.7430997877,61.35,-18.5907643312,64.31,-14.6629511677,64.31
NVDA,15.82,18.2,15.0442477876,16.14,2.0227560051,11.81,-25.3476611884,13.86,-12.389380531,13.86
EA,16.38,19.73,20.4517704518,24.19,47.6800976801,19.76,20.6349206349,20.6,25.7631257631,20.6
TDC,42.58,50.59,18.8116486613,60.91,43.0483795209,50.82,19.3518083607,48.51,13.9267261625,48.51
FISV,59.5,62.88,5.6806722689,63.74,7.1260504202,50.21,-15.6134453782,58.74,-1.2773109244,58.74
DELL,13.69,14.34,4.7479912345,16.98,24.0321402484,13.91,1.6070124178,14.63,6.8663257852,14.63
CTXS,67.96,75.26,10.7416127134,80.78,18.8640376692,52.95,-22.0865214832,60.72,-10.6533254856,60.72
CSC,50.84,49.38,-2.871754524,38.36,-24.5476003147,26.6,-47.678992919,23.7,-53.3831628639,23.7
BRCM,44.23,38.36,-13.2715351571,34.41,-22.2021252544,32.12,-27.3796066019,29.36,-33.6197151255,29.36
CA,24.78,24.13,-2.6230831316,23.17,-6.4971751412,18.99,-23.3656174334,20.22,-18.401937046,20.22
AMAT,14.06,15.53,10.4551920341,13.29,-5.4765291607,9.85,-29.9431009957,10.71,-23.826458037,10.71
V,70.52,74.22,5.2467385139,87.97,24.7447532615,84.26,19.4838343732,101.53,43.9733408962,101.53
ACN,48.59,54.87,12.9244700556,60.87,25.2726898539,51.62,6.2358509981,53.23,9.5492899774,53.23
TEL,36.24,35.02,-3.3664459161,37.9,4.5805739514,27.25,-24.8068432671,30.81,-14.9834437086,30.81
EMC,23.11,26.55,14.8853310255,27.83,20.424058849,20.37,-11.8563392471,21.54,-6.793595846,21.54
XRX,11.71,10.88,-7.0879590094,10.71,-8.5397096499,6.72,-42.6131511529,7.96,-32.023911187,7.96
TSS,15.74,18.23,15.8195679797,18.79,19.3773824651,16.95,7.6874205845,19.56,24.2693773825,19.56
CRM,34.15,33.53,-1.8155197657,37.35,9.3704245974,27.98,-18.0673499268,25.36,-25.7393850659,25.36
WDC,34.14,38.18,11.8336262449,36.64,7.3227885179,24.6,-27.9437609842,30.95,-9.3438781488,30.95
TER,13.71,17.84,30.1239970824,15.18,10.7221006565,10.55,-23.0488694384,13.63,-0.583515682,13.63
JDSU,14.95,19.11,27.8260869565,17.01,13.779264214,8.99,-39.8662207358,10.44,-30.1672240803,10.44
QCOM,50.18,54.47,8.5492227979,57.88,15.3447588681,47.65,-5.0418493424,54.7,9.0075727381,54.7
PAYX,31.39,31.83,1.4017202931,31.05,-1.0831474992,25.55,-18.6046511628,30.11,-4.0777317617,30.11
NTAP,57.41,48.2,-16.0425013064,54.32,-5.3823375719,33.64,-41.4039365964,36.27,-36.8228531615,36.27
INTU,49.83,53.95,8.2681115794,52.24,4.8364439093,45.84,-8.0072245635,52.59,5.5388320289,52.59
INTC,20.85,19.72,-5.4196642686,22.53,8.0575539568,20.62,-1.103117506,24.25,16.3069544365,24.25
ADP,47.05,51.68,9.8405951116,53.89,14.5377258236,46.47,-1.2327311371,54.01,14.7927736451,54.01
YHOO,16.75,16.84,0.5373134328,15.45,-7.7611940299,13.53,-19.223880597,16.13,-3.7014925373,16.13
HPQ,42.74,40.98,-4.117922321,37.05,-13.3130556855,22.2,-48.0580252691,25.76,-39.7285914834,25.76
EBAY,28.68,31.36,9.3444909344,32.74,14.1562064156,28.11,-1.9874476987,30.33,5.7531380753,30.33
BMC,47.66,50.71,6.3994964331,55.79,17.0583298363,37.71,-20.8770457407,32.78,-31.2211498112,32.78
ADBE,31.29,34.16,9.1722595078,31.53,0.7670182167,23.26,-25.6631511665,28.27,-9.6516458933,28.27
ADSK,39.27,43.83,11.6119174943,38.7,-1.4514896868,25.45,-35.1922587217,30.33,-22.7654698243,30.33
ALTR,36.24,42.67,17.7428256071,47.53,31.1534216336,30.87,-14.8178807947,37.1,2.3730684327,37.1
MOLX,23.28,24.82,6.6151202749,26.63,14.3900343643,19.09,-17.9982817869,23.86,2.4914089347,23.86
KLAC,38.75,46.8,20.7741935484,41.45,6.9677419355,37.23,-3.9225806452,48.25,24.5161290323,48.25
ORCL,31.62,34.02,7.5901328273,33.05,4.5224541429,27.94,-11.6382036686,25.65,-18.880455408,25.65
LSI,6.07,6.66,9.7199341021,7.25,19.4398682043,4.85,-20.0988467875,5.95,-1.9769357496,5.95
AMD,8.47,8.36,-1.2987012987,7.11,-16.0566706021,4.53,-46.5171192444,5.4,-36.2455726092,5.4
FIS,28.13,33.23,18.1301102026,31.02,10.2737291148,23.45,-16.6370423036,26.59,-5.4745822965,26.59
JBL,20.89,20.04,-4.0689325036,20.77,-0.5744375299,17.04,-18.4298707516,19.66,-5.8879846817,19.66
GOOG,604.35,591.8,-2.0766112352,521.03,-13.7867129974,495.52,-18.0077769504,645.9,6.8751551253,645.9
IBM,147.48,164.27,11.3845945213,174.54,18.3482506103,173.29,17.500678058,183.88,24.6813127204,183.88
AAPL,329.57,344.56,4.5483508815,343.26,4.1538975028,374.6,13.6632581849,405,22.8873987317,405
SNDK,51.24,45.51,-11.1826697892,42.8,-16.4715066354,38.92,-24.043715847,49.21,-3.9617486339,49.21
LRCX,49.93,56.31,12.7778890447,45.27,-9.3330662928,36.66,-26.5772080913,37.02,-25.8561986781,37.02
MU,8.28,11.3,36.4734299517,7.83,-5.4347826087,4.33,-47.7053140097,6.29,-24.0338164251,6.29
MCHP,34.79,37.92,8.9968381719,38.35,10.2328255246,30.43,-12.5323368784,36.63,5.2888761138,36.63
FFIV,134.33,93.56,-30.3506290479,113.16,-15.7596962704,70.43,-47.569418596,106.12,-21.0005211047,106.12
MA,220.85,253.55,14.8064297034,314.47,42.3907629613,310.88,40.765225266,372.82,68.8114104596,372.82
WU,18.74,20.77,10.8324439701,20.24,8.0042689434,14.89,-20.5442902882,18.26,-2.5613660619,18.26
SYMC,17.16,18.46,7.5757575758,19.83,15.5594405594,15.74,-8.2750582751,15.65,-8.7995337995,15.65
HRS,45.15,50.05,10.8527131783,45.55,0.8859357697,33.23,-26.4008859358,36.04,-20.1771871539,36.04
