Date,Open,High,Low,Close,Volume
17-May-13,46.84,47.02,46.52,47.02,1816071
16-May-13,46.69,47.06,46.47,46.50,1745170
15-May-13,46.29,46.73,46.20,46.69,1443588
14-May-13,46.22,46.53,46.19,46.34,1844600
13-May-13,46.53,46.66,46.15,46.25,1373785
10-May-13,46.56,46.83,46.36,46.79,1670913
9-May-13,45.95,46.61,45.95,46.38,2240499
8-May-13,45.81,46.13,45.50,46.08,1440942
7-May-13,45.81,45.91,45.55,45.78,1658452
6-May-13,45.28,45.96,45.02,45.82,3211142
3-May-13,44.71,45.11,44.50,45.00,2395229
2-May-13,43.96,44.44,43.58,44.21,2883695
1-May-13,44.12,44.35,43.76,43.88,1876126
30-Apr-13,43.56,44.04,43.36,43.99,2572418
29-Apr-13,43.60,43.77,43.39,43.66,1548037
26-Apr-13,43.51,43.70,43.21,43.30,2081117
25-Apr-13,43.97,43.97,43.57,43.65,6025210
24-Apr-13,43.66,43.81,43.44,43.46,2926811
23-Apr-13,42.98,43.63,42.85,43.43,2371557
22-Apr-13,42.62,42.92,41.88,42.66,2253628
19-Apr-13,42.20,42.69,41.81,42.36,2746280
18-Apr-13,43.35,43.35,42.16,42.34,2802940
17-Apr-13,43.57,43.86,42.24,42.85,4736902
16-Apr-13,44.09,44.78,43.90,44.74,2382166
15-Apr-13,44.41,44.70,43.84,43.84,2780966
12-Apr-13,44.71,44.83,44.08,44.59,2311832
11-Apr-13,45.14,45.40,44.74,44.90,2459214
10-Apr-13,44.28,45.12,44.04,45.10,2386183
9-Apr-13,44.03,44.27,43.53,44.07,2574880
8-Apr-13,43.64,44.00,43.35,44.00,2301854
5-Apr-13,43.01,43.68,42.45,43.61,3381308
4-Apr-13,44.13,44.19,43.62,43.74,3513837
3-Apr-13,45.09,45.19,43.89,44.06,2431063
2-Apr-13,45.72,45.74,44.94,45.20,2177063
1-Apr-13,46.28,46.36,45.32,45.41,2542598
28-Mar-13,45.63,46.53,45.61,46.49,2095835
27-Mar-13,45.30,45.87,45.02,45.75,1471120
26-Mar-13,44.90,45.78,44.77,45.75,1623312
25-Mar-13,45.04,45.06,44.37,44.64,1900007
22-Mar-13,44.82,45.16,44.70,44.90,2071889
21-Mar-13,45.22,45.40,44.52,44.55,1645398
20-Mar-13,45.29,45.75,45.13,45.66,1811235
19-Mar-13,44.98,45.16,44.33,44.91,1778035
18-Mar-13,45.25,45.35,44.73,44.85,2326820
15-Mar-13,46.33,46.53,45.39,45.53,4695222
14-Mar-13,46.65,47.00,46.47,46.50,1902555
13-Mar-13,46.41,46.63,46.21,46.48,1864213
12-Mar-13,46.40,46.64,46.15,46.48,1967323
11-Mar-13,45.96,46.44,45.79,46.44,1731687
8-Mar-13,45.96,46.27,45.53,46.05,1663197
7-Mar-13,46.25,46.26,45.59,45.71,1976162
6-Mar-13,45.83,46.19,45.80,46.12,1908564
5-Mar-13,45.50,45.93,45.50,45.77,1425028
4-Mar-13,45.29,45.34,44.89,45.30,1971660
1-Mar-13,45.00,45.44,44.41,45.23,2392766
28-Feb-13,45.28,45.82,43.68,45.22,2627140
27-Feb-13,44.58,45.62,44.31,45.38,2094992
26-Feb-13,45.08,45.31,44.65,45.00,4383813
25-Feb-13,46.11,46.27,44.75,44.77,2626687
22-Feb-13,45.19,45.89,45.19,45.52,2320270
21-Feb-13,45.70,45.77,44.84,45.12,2923019
20-Feb-13,46.90,47.27,45.76,45.79,3473197
19-Feb-13,46.40,47.04,46.20,47.01,2734393
15-Feb-13,46.39,46.62,45.86,46.18,3187346
14-Feb-13,46.02,46.70,45.98,46.54,1991339
13-Feb-13,46.29,46.63,46.06,46.26,2376089
12-Feb-13,46.15,46.35,45.96,46.27,2313512
11-Feb-13,45.99,46.14,45.77,46.08,2382919
8-Feb-13,44.72,45.90,44.45,45.70,2963076
7-Feb-13,44.62,44.67,44.06,44.39,1817592
6-Feb-13,44.36,44.92,44.35,44.74,1962672
5-Feb-13,44.32,44.86,44.14,44.68,2057605
