Date,Open,High,Low,Close,Volume
17-May-13,71.46,72.00,71.00,71.99,2554995
16-May-13,71.52,71.91,70.88,70.98,1924837
15-May-13,70.85,71.75,70.75,71.74,2246241
14-May-13,70.20,70.91,70.19,70.81,1820895
13-May-13,69.78,70.16,69.74,70.08,1357260
10-May-13,70.12,70.27,69.58,70.03,1652934
9-May-13,68.89,70.25,68.80,70.00,3063607
8-May-13,68.64,68.80,68.41,68.56,2447974
7-May-13,68.82,69.09,68.53,68.65,1956068
6-May-13,69.16,69.16,68.53,68.68,1339080
3-May-13,68.52,69.28,68.02,69.23,1879793
2-May-13,66.83,67.74,66.60,67.39,1680510
1-May-13,67.39,67.39,66.70,66.82,1541116
30-Apr-13,66.99,67.35,66.87,67.34,1641649
29-Apr-13,66.55,67.25,66.40,67.14,949416
26-Apr-13,66.76,66.77,66.20,66.59,862137
25-Apr-13,66.93,66.98,66.49,66.77,1526278
24-Apr-13,66.70,66.95,66.44,66.67,1282094
23-Apr-13,65.94,66.38,65.41,66.36,1268414
22-Apr-13,65.21,65.68,64.71,65.50,1382805
19-Apr-13,64.37,65.43,64.37,65.23,2144702
18-Apr-13,65.83,65.87,64.38,64.63,1454589
17-Apr-13,64.82,65.42,63.98,65.35,2980239
16-Apr-13,64.71,65.47,64.52,65.41,1539315
15-Apr-13,65.80,65.90,64.44,64.46,1821943
12-Apr-13,66.13,66.13,65.51,65.91,1511889
11-Apr-13,65.64,66.21,65.47,66.11,1196455
10-Apr-13,64.44,65.70,64.29,65.66,1392708
9-Apr-13,64.35,64.72,63.84,64.46,1504992
8-Apr-13,63.69,64.26,63.54,64.26,1087044
5-Apr-13,64.10,64.11,63.30,63.77,1689621
4-Apr-13,64.85,65.06,64.32,64.72,1206859
3-Apr-13,65.26,65.49,64.56,64.75,1600043
2-Apr-13,65.15,65.68,64.85,65.28,1929151
1-Apr-13,64.66,65.18,64.50,64.68,1498854
28-Mar-13,64.50,65.12,64.33,65.03,2213530
27-Mar-13,64.40,64.73,64.10,64.66,1511388
26-Mar-13,64.04,64.80,64.04,64.79,1919106
25-Mar-13,64.45,64.55,63.56,63.93,1712092
22-Mar-13,64.00,64.22,63.65,64.08,1597694
21-Mar-13,63.98,64.39,63.43,63.73,2219952
20-Mar-13,64.65,64.82,64.16,64.42,1643036
19-Mar-13,64.31,64.46,63.66,64.31,1573509
18-Mar-13,63.87,64.47,63.80,64.22,1639710
15-Mar-13,64.67,65.05,64.37,64.48,3560880
14-Mar-13,64.20,65.03,64.20,65.02,2501726
13-Mar-13,64.00,64.21,63.85,64.18,1425390
12-Mar-13,63.90,63.98,63.75,63.97,1956495
11-Mar-13,63.38,63.89,63.34,63.87,1798946
8-Mar-13,63.26,63.71,63.16,63.35,2093716
7-Mar-13,62.48,63.57,62.30,63.34,3539409
6-Mar-13,62.54,62.56,62.03,62.30,1552234
5-Mar-13,62.00,62.70,61.92,62.66,1809912
4-Mar-13,61.32,61.89,61.10,61.84,1763774
1-Mar-13,61.29,61.75,60.69,61.65,1703353
28-Feb-13,61.70,61.72,61.36,61.36,1941943
27-Feb-13,60.86,61.83,60.66,61.59,1659768
26-Feb-13,61.12,61.37,60.72,61.08,1954782
