Date,Open,High,Low,Close,Volume
17-May-13,89.63,90.60,89.18,90.59,599553
16-May-13,89.74,90.55,88.92,88.95,430233
15-May-13,89.73,90.30,89.35,90.26,478686
14-May-13,89.26,89.88,89.15,89.80,572704
13-May-13,89.63,89.86,89.09,89.39,346103
10-May-13,88.95,89.57,88.90,89.52,462767
9-May-13,88.78,89.56,88.76,88.99,543924
8-May-13,87.95,88.77,87.70,88.73,775255
7-May-13,86.52,88.13,86.40,88.00,973197
6-May-13,86.98,87.34,86.34,86.52,901537
3-May-13,87.00,87.14,86.61,86.80,1024551
2-May-13,87.27,87.65,86.25,86.30,1095209
1-May-13,86.83,89.50,86.72,86.93,1582796
30-Apr-13,90.78,91.16,90.40,91.11,831365
29-Apr-13,90.10,90.93,90.02,90.84,590281
26-Apr-13,90.29,90.61,89.93,90.13,504574
25-Apr-13,89.80,90.41,89.43,90.17,584151
24-Apr-13,88.23,89.40,87.95,89.33,390140
23-Apr-13,87.90,88.50,87.23,88.27,441243
22-Apr-13,87.49,87.88,86.37,87.67,319337
19-Apr-13,85.58,87.44,85.41,87.32,544704
18-Apr-13,86.86,87.16,85.60,86.00,365714
17-Apr-13,87.07,87.07,86.04,86.74,531749
16-Apr-13,86.01,87.53,85.54,87.48,523607
15-Apr-13,87.51,87.81,85.70,85.71,470487
12-Apr-13,87.86,88.08,87.28,87.83,444981
11-Apr-13,88.25,88.77,87.94,88.39,494770
10-Apr-13,86.21,88.39,86.10,88.35,593012
9-Apr-13,86.07,86.40,85.22,86.23,411549
8-Apr-13,84.72,85.66,84.71,85.66,286828
5-Apr-13,85.06,85.44,84.38,84.84,386899
4-Apr-13,86.03,86.51,85.81,86.24,358505
3-Apr-13,87.09,87.09,85.54,85.83,500310
2-Apr-13,87.32,87.49,86.74,87.05,379996
1-Apr-13,87.96,87.99,86.86,87.01,327877
28-Mar-13,86.13,87.91,86.10,87.86,704463
27-Mar-13,86.17,86.57,85.45,86.32,243284
26-Mar-13,86.38,86.78,85.81,86.52,284986
25-Mar-13,86.62,86.65,85.26,85.71,321861
22-Mar-13,85.75,86.16,85.34,86.09,359398
21-Mar-13,85.00,85.46,84.93,85.31,466722
20-Mar-13,85.73,85.98,85.17,85.76,333906
19-Mar-13,85.27,85.43,84.51,85.08,391162
18-Mar-13,84.63,85.31,84.61,85.02,567809
15-Mar-13,84.96,85.68,84.88,85.45,1044598
14-Mar-13,85.00,85.29,84.74,85.29,846670
13-Mar-13,84.97,84.98,84.44,84.87,285716
12-Mar-13,84.61,84.81,84.07,84.70,304622
11-Mar-13,84.50,84.85,84.40,84.69,273065
8-Mar-13,84.40,84.77,84.01,84.71,591778
7-Mar-13,84.07,84.58,83.62,84.07,655987
6-Mar-13,84.59,84.98,83.71,83.96,595982
5-Mar-13,82.96,84.60,82.88,84.59,894502
4-Mar-13,81.33,82.83,81.33,82.82,715089
1-Mar-13,82.08,82.14,81.18,81.50,687659
28-Feb-13,81.23,82.45,81.23,82.24,1320982
27-Feb-13,80.17,81.59,80.15,81.34,1343977
26-Feb-13,79.79,80.82,79.64,80.76,663175
25-Feb-13,80.26,81.18,79.51,79.59,778984
22-Feb-13,79.67,80.25,79.50,80.24,622777
21-Feb-13,80.41,80.46,79.28,79.50,612799
20-Feb-13,81.22,81.80,80.68,80.69,735219
19-Feb-13,80.76,81.37,80.76,81.02,919404
15-Feb-13,80.18,80.95,79.91,80.87,799660
14-Feb-13,80.30,80.63,79.63,80.16,696318
13-Feb-13,80.45,80.75,80.24,80.55,466986
12-Feb-13,80.58,80.90,80.37,80.54,520519
11-Feb-13,80.66,81.07,80.58,80.84,715959
8-Feb-13,80.10,80.68,79.97,80.48,639602
7-Feb-13,80.20,80.34,79.75,79.96,1177697
6-Feb-13,80.65,81.01,79.86,80.32,1039941
5-Feb-13,80.73,81.02,80.17,80.81,859834
4-Feb-13,80.76,81.13,80.06,80.09,647677
1-Feb-13,81.08,81.59,80.99,81.35,814276
31-Jan-13,81.09,81.24,80.23,80.31,513162
30-Jan-13,81.06,81.08,80.56,80.92,447474
29-Jan-13,80.78,81.13,80.52,80.94,613355
28-Jan-13,81.22,81.22,80.52,80.78,1008023
25-Jan-13,80.91,81.12,80.33,80.85,676249
24-Jan-13,81.19,81.96,80.24,80.40,989620
23-Jan-13,81.53,81.78,81.06,81.23,1134968
22-Jan-13,81.35,81.79,81.07,81.73,1111024
18-Jan-13,81.08,81.47,80.55,81.24,1064067
17-Jan-13,81.01,81.39,80.75,81.08,765357
16-Jan-13,80.32,80.74,79.92,80.47,1197055
15-Jan-13,79.03,81.30,79.03,80.47,3087024
14-Jan-13,82.85,83.20,82.69,82.90,413957
11-Jan-13,82.39,83.43,82.39,82.98,647599
10-Jan-13,83.36,83.36,82.36,83.20,546636
9-Jan-13,82.00,82.90,81.70,82.84,684236
8-Jan-13,81.16,81.84,80.57,81.60,738180
7-Jan-13,80.50,81.38,80.11,81.21,606449
4-Jan-13,80.93,80.93,80.29,80.70,462975
3-Jan-13,80.98,81.42,80.40,80.67,505240
2-Jan-13,80.28,81.28,80.01,81.28,892789
31-Dec-12,78.63,79.10,78.04,79.03,569175
28-Dec-12,78.41,79.24,78.39,78.52,476354
27-Dec-12,78.72,79.39,78.19,79.13,647881
26-Dec-12,79.85,79.97,78.63,78.94,409427
24-Dec-12,79.28,80.19,79.09,79.74,242930
21-Dec-12,79.73,80.01,79.12,79.70,1907485
20-Dec-12,79.40,80.37,79.34,80.22,911901
19-Dec-12,81.01,81.20,79.69,79.69,1429638
18-Dec-12,80.86,81.17,80.26,81.11,896718
17-Dec-12,79.71,80.83,79.57,80.50,1131407
14-Dec-12,79.82,80.18,79.58,79.67,1030417
13-Dec-12,80.52,80.89,79.48,79.93,1018717
12-Dec-12,80.71,81.13,80.20,80.24,881026
11-Dec-12,80.20,81.26,80.19,80.67,1270083
10-Dec-12,79.49,80.34,79.45,80.11,864203
7-Dec-12,80.26,80.73,79.15,79.81,996151
6-Dec-12,79.72,80.52,79.13,79.89,1012949
5-Dec-12,77.70,80.40,77.38,79.71,1727309
4-Dec-12,76.66,77.69,76.66,77.68,630074
3-Dec-12,77.13,77.42,76.80,76.90,481240
30-Nov-12,76.18,77.02,76.06,76.99,818396
29-Nov-12,75.72,76.18,75.61,76.13,304938
28-Nov-12,75.04,75.67,74.78,75.59,629876
27-Nov-12,75.25,75.67,75.08,75.13,274088
26-Nov-12,75.53,75.64,75.04,75.38,441375
23-Nov-12,75.16,75.43,74.77,75.43,146894
21-Nov-12,74.06,74.68,74.01,74.66,323421
20-Nov-12,73.52,74.56,73.38,74.29,468437
19-Nov-12,73.97,74.16,73.38,73.62,674643
16-Nov-12,72.50,73.73,72.24,73.55,797515
15-Nov-12,72.75,72.83,72.19,72.59,557555
