Date,Open,High,Low,Close,Volume
17-May-13,14.03,14.12,13.85,13.97,3249115
16-May-13,13.64,14.15,13.60,14.02,7808718
15-May-13,13.29,13.39,13.23,13.36,2462793
14-May-13,13.30,13.38,13.20,13.30,4718142
13-May-13,13.40,13.50,13.25,13.28,2600856
10-May-13,13.24,13.49,13.24,13.46,2173250
9-May-13,13.46,13.58,13.15,13.24,4134984
8-May-13,13.69,13.71,13.49,13.53,2679985
7-May-13,13.82,13.87,13.60,13.75,3446874
6-May-13,13.35,13.79,13.32,13.74,5185309
3-May-13,13.15,13.41,13.04,13.32,6365496
2-May-13,13.10,13.50,12.79,13.00,12883794
1-May-13,13.40,13.50,12.40,12.52,13539374
30-Apr-13,13.36,13.58,13.14,13.50,4304936
29-Apr-13,13.55,13.69,13.31,13.59,2510901
26-Apr-13,13.55,13.55,13.30,13.44,2294347
25-Apr-13,13.53,13.72,13.44,13.60,3425088
24-Apr-13,13.05,13.42,13.05,13.38,4797012
23-Apr-13,12.94,13.51,12.93,13.46,5572885
22-Apr-13,12.76,13.00,12.58,12.89,4871947
19-Apr-13,12.65,12.76,12.40,12.70,3821603
18-Apr-13,12.93,13.09,12.45,12.58,3647664
17-Apr-13,13.01,13.07,12.68,12.88,4431449
16-Apr-13,13.44,13.54,13.11,13.18,3121834
15-Apr-13,13.85,13.90,13.23,13.32,3885873
12-Apr-13,14.13,14.17,13.72,13.98,3017041
11-Apr-13,13.98,14.24,13.75,14.22,4703878
10-Apr-13,13.55,14.25,13.54,13.98,9784236
9-Apr-13,13.06,13.37,12.97,13.34,3869214
8-Apr-13,12.77,13.06,12.67,13.06,2997034
5-Apr-13,12.60,12.94,12.36,12.78,4535981
4-Apr-13,13.01,13.26,12.88,13.11,3594620
3-Apr-13,13.24,13.36,12.95,12.99,4631326
2-Apr-13,13.30,13.41,13.14,13.24,5624084
1-Apr-13,13.41,13.41,12.98,13.26,4316295
28-Mar-13,13.58,13.58,13.30,13.36,3308451
27-Mar-13,13.45,13.55,13.30,13.55,3012319
26-Mar-13,13.65,13.81,13.43,13.54,2538138
25-Mar-13,13.53,13.70,13.38,13.64,4781523
22-Mar-13,13.72,13.85,13.35,13.47,5557871
21-Mar-13,14.19,14.26,13.53,13.71,8339569
20-Mar-13,14.40,14.46,14.26,14.30,4215853
19-Mar-13,15.00,15.15,14.30,14.32,5287293
18-Mar-13,15.02,15.05,14.62,14.97,3049723
15-Mar-13,15.30,15.38,15.05,15.22,4384556
14-Mar-13,15.15,15.48,15.15,15.26,3855329
13-Mar-13,15.27,15.30,14.97,15.05,3042172
12-Mar-13,15.31,15.52,15.22,15.28,3688564
11-Mar-13,15.45,15.55,15.33,15.40,3232106
8-Mar-13,15.33,15.51,15.16,15.48,6355410
7-Mar-13,15.08,15.30,14.90,15.23,9686900
6-Mar-13,14.23,14.23,13.84,14.15,4221110
5-Mar-13,14.14,14.37,14.13,14.15,3355340
4-Mar-13,14.05,14.15,13.96,13.98,3270004
1-Mar-13,14.13,14.23,14.00,14.06,5327443
28-Feb-13,14.46,14.56,14.14,14.16,3010544
27-Feb-13,14.27,14.59,14.15,14.45,2961969
26-Feb-13,14.23,14.39,13.97,14.24,3512454
25-Feb-13,14.71,14.86,14.15,14.15,4059605
22-Feb-13,14.52,14.72,14.51,14.62,2032134
21-Feb-13,14.78,14.81,14.27,14.40,4173986
20-Feb-13,15.41,15.49,14.75,14.79,4826700
19-Feb-13,15.27,15.48,15.16,15.41,3301399
15-Feb-13,15.50,15.62,15.04,15.17,5239818
14-Feb-13,15.34,15.53,15.30,15.48,2835854
13-Feb-13,15.30,15.47,15.25,15.35,3330363
12-Feb-13,15.20,15.49,15.20,15.29,3346817
11-Feb-13,15.22,15.38,15.10,15.26,2024941
8-Feb-13,15.21,15.49,15.16,15.21,3259244
7-Feb-13,15.39,15.39,15.09,15.25,4126530
6-Feb-13,15.11,15.39,15.06,15.34,3871343
5-Feb-13,15.09,15.38,15.03,15.18,4678730
4-Feb-13,14.62,15.19,14.62,15.02,8645591
1-Feb-13,14.51,15.09,14.48,14.78,10894748
31-Jan-13,14.08,15.14,14.00,14.51,23858728
30-Jan-13,12.92,13.10,12.38,12.40,18319930
29-Jan-13,13.62,13.66,12.91,13.06,8328774
28-Jan-13,13.44,13.67,13.40,13.65,4026399
25-Jan-13,13.31,13.53,13.23,13.45,5724281
24-Jan-13,13.34,13.63,13.23,13.27,3686273
23-Jan-13,13.47,13.60,13.37,13.40,1845263
22-Jan-13,13.11,13.47,13.11,13.40,4534395
18-Jan-13,13.46,13.46,13.08,13.20,5429456
17-Jan-13,13.53,13.75,13.53,13.61,3001923
16-Jan-13,13.37,13.58,13.14,13.50,4490728
15-Jan-13,13.10,13.43,13.02,13.36,3352238
14-Jan-13,13.00,13.18,12.96,13.18,4291012
11-Jan-13,13.48,13.54,13.05,13.22,6243635
10-Jan-13,13.69,13.78,13.32,13.47,4859866
9-Jan-13,13.89,13.91,13.32,13.52,6601390
8-Jan-13,14.10,14.15,13.80,13.84,3563389
7-Jan-13,14.14,14.29,14.00,14.14,4928909
4-Jan-13,13.95,14.00,13.77,13.83,2568147
3-Jan-13,14.03,14.15,13.75,13.86,3389068
2-Jan-13,13.88,14.12,13.82,14.03,5207131
31-Dec-12,13.19,13.54,13.07,13.50,3253794
28-Dec-12,13.14,13.29,13.00,13.16,2077844
27-Dec-12,13.30,13.42,13.01,13.29,3282601
26-Dec-12,13.29,13.66,13.25,13.31,2814379
24-Dec-12,13.13,13.18,12.96,13.16,973772
21-Dec-12,13.04,13.22,12.92,13.20,4247983
20-Dec-12,13.19,13.36,13.07,13.30,3102721
19-Dec-12,13.18,13.40,13.06,13.21,3310589
18-Dec-12,12.80,13.21,12.73,13.19,4952521
17-Dec-12,12.61,12.72,12.50,12.62,2805467
14-Dec-12,12.49,12.86,12.45,12.58,3427716
13-Dec-12,12.60,12.89,12.45,12.51,4548445
12-Dec-12,12.89,12.93,12.57,12.58,4406908
11-Dec-12,12.56,12.82,12.53,12.80,4175109
10-Dec-12,12.32,12.53,12.28,12.47,2912656
7-Dec-12,12.40,12.49,12.27,12.32,4086577
6-Dec-12,12.05,12.37,11.88,12.34,7772575
5-Dec-12,12.29,12.46,12.21,12.37,4529042
4-Dec-12,12.18,12.43,12.12,12.34,5626330
3-Dec-12,12.22,12.43,12.17,12.19,4122989
30-Nov-12,11.98,12.18,11.98,12.13,4445547
29-Nov-12,11.96,12.10,11.92,12.01,4356811
