Date,Open,High,Low,Close,Volume
17-May-13,55.48,55.88,54.90,55.87,1948253
16-May-13,55.26,55.69,55.00,55.21,2464596
15-May-13,54.25,55.45,54.11,55.05,1646610
14-May-13,53.78,54.47,53.53,54.45,1546250
13-May-13,54.19,54.39,53.51,53.70,1599473
10-May-13,54.29,54.78,53.81,54.47,1428586
9-May-13,54.59,54.97,54.01,54.20,1970514
8-May-13,54.78,54.90,54.09,54.70,1324432
7-May-13,54.22,54.74,54.00,54.46,3404868
6-May-13,54.25,54.36,53.85,54.06,2057307
3-May-13,54.61,54.69,54.10,54.30,2840097
2-May-13,53.59,54.10,53.49,53.89,2040793
1-May-13,54.23,54.37,53.45,53.59,2246114
30-Apr-13,53.15,54.50,53.02,54.25,4324969
29-Apr-13,51.78,53.25,51.73,53.11,3191689
26-Apr-13,51.61,53.00,50.23,52.11,7813287
25-Apr-13,55.80,57.00,55.62,55.90,2457561
24-Apr-13,55.12,55.55,54.88,55.49,1479865
23-Apr-13,54.30,55.38,53.94,55.21,2307473
22-Apr-13,53.42,54.21,52.34,53.76,1587440
19-Apr-13,52.59,53.44,52.23,53.05,1795734
18-Apr-13,53.32,53.93,52.73,52.87,2136963
17-Apr-13,53.04,54.12,52.12,52.75,2312091
16-Apr-13,52.45,53.51,52.16,53.43,1846107
15-Apr-13,53.70,53.86,52.17,52.31,1666328
12-Apr-13,53.79,53.85,53.04,53.77,1156809
11-Apr-13,54.03,54.93,53.73,53.80,1602048
10-Apr-13,52.65,54.28,52.60,54.26,1901542
9-Apr-13,52.00,53.14,51.83,52.64,1530085
8-Apr-13,51.62,52.00,51.30,51.99,1611277
5-Apr-13,50.80,51.79,50.27,51.73,1879393
4-Apr-13,51.27,51.81,51.10,51.54,1218278
3-Apr-13,51.67,51.99,51.08,51.30,2082438
2-Apr-13,51.59,51.89,51.29,51.40,1819087
1-Apr-13,52.73,52.82,51.42,51.57,1500682
28-Mar-13,51.53,52.80,51.53,52.74,1554841
27-Mar-13,51.54,51.78,51.31,51.74,1694988
26-Mar-13,52.57,52.68,51.46,52.05,1682769
25-Mar-13,52.08,52.16,51.15,51.65,1271602
22-Mar-13,51.51,51.83,50.98,51.62,1918744
21-Mar-13,51.20,51.71,51.00,51.26,1842722
20-Mar-13,51.82,52.07,51.43,51.58,1410541
19-Mar-13,51.73,52.18,50.80,51.35,2753772
18-Mar-13,52.32,52.63,51.55,51.73,2397596
15-Mar-13,54.70,54.85,52.39,52.65,5244368
14-Mar-13,55.00,55.71,54.87,54.93,1222907
13-Mar-13,54.73,54.89,54.21,54.73,727219
12-Mar-13,54.66,54.95,54.13,54.64,945399
11-Mar-13,54.97,55.00,54.55,54.71,1134768
8-Mar-13,55.34,55.75,54.55,55.16,1157142
7-Mar-13,55.24,55.55,54.87,55.04,1422428
6-Mar-13,55.76,55.76,54.81,55.00,2691270
5-Mar-13,54.42,55.82,54.30,55.55,2473083
4-Mar-13,54.24,54.46,53.72,53.97,1781161
1-Mar-13,54.36,54.75,53.61,54.50,2122329
28-Feb-13,54.70,55.27,54.22,54.76,1810556
27-Feb-13,53.72,55.08,53.54,54.73,1706468
26-Feb-13,53.43,54.27,53.32,53.92,1695103
25-Feb-13,55.23,55.57,53.00,53.02,2146725
22-Feb-13,54.28,55.03,54.28,54.78,1576705
21-Feb-13,54.90,55.10,53.53,53.86,3141749
20-Feb-13,56.47,56.51,54.85,54.90,1675158
19-Feb-13,55.99,57.14,55.85,56.39,2139955
15-Feb-13,56.13,56.28,55.34,55.76,1483716
14-Feb-13,56.01,56.18,55.52,56.10,2182742
13-Feb-13,56.76,57.00,56.21,56.61,1495197
12-Feb-13,56.56,56.80,56.24,56.71,1860655
11-Feb-13,56.67,56.89,56.26,56.38,1672238
8-Feb-13,56.97,57.18,56.18,56.57,2066493
7-Feb-13,56.94,56.94,55.92,56.79,2259676
6-Feb-13,56.12,57.18,56.10,57.02,3169031
5-Feb-13,56.19,56.64,55.86,56.55,2634365
4-Feb-13,55.55,56.86,55.50,55.82,2866509
1-Feb-13,55.43,56.05,55.21,55.76,1955970
31-Jan-13,55.49,55.89,54.83,54.91,2098180
30-Jan-13,55.89,56.00,55.06,55.17,2098528
29-Jan-13,55.91,56.04,55.14,55.82,2721767
28-Jan-13,56.25,56.51,55.86,56.10,2170587
25-Jan-13,53.50,57.97,53.50,56.34,7161711
24-Jan-13,52.22,52.56,51.77,51.97,2200797
23-Jan-13,52.00,52.49,51.40,52.35,1968412
22-Jan-13,51.80,51.98,51.46,51.80,1879722
18-Jan-13,52.10,52.42,51.49,51.84,4140084
17-Jan-13,48.56,52.00,48.50,51.89,7126077
16-Jan-13,48.22,48.73,48.16,48.50,1493235
15-Jan-13,48.55,48.66,48.11,48.39,1663147
14-Jan-13,49.00,49.48,48.72,48.92,1325645
11-Jan-13,48.69,49.23,48.40,49.19,1771789
10-Jan-13,48.12,48.70,48.03,48.59,1530880
9-Jan-13,47.54,47.96,47.48,47.84,1020850
8-Jan-13,48.36,48.50,47.37,47.37,1566615
7-Jan-13,48.65,48.72,47.88,48.63,1547931
4-Jan-13,49.16,49.34,48.77,48.98,1332206
3-Jan-13,50.00,50.18,48.88,49.14,2237839
2-Jan-13,48.81,49.70,48.73,49.57,1837451
31-Dec-12,47.13,47.76,46.76,47.76,1032284
28-Dec-12,47.20,47.64,46.97,47.02,937860
27-Dec-12,47.70,47.80,46.75,47.43,1491376
26-Dec-12,48.00,48.25,47.54,47.68,798623
24-Dec-12,48.08,48.79,47.73,47.81,571389
21-Dec-12,47.90,48.40,47.07,48.37,2375874
20-Dec-12,48.06,48.70,47.70,48.51,1367384
19-Dec-12,47.92,48.29,47.73,47.92,1066076
18-Dec-12,47.37,47.89,47.12,47.84,1257934
17-Dec-12,47.27,47.75,46.72,47.35,1464524
14-Dec-12,46.67,47.55,46.35,47.18,1866680
13-Dec-12,47.04,47.34,46.25,46.61,1334659
12-Dec-12,47.67,47.72,46.99,47.08,1275200
11-Dec-12,47.69,47.90,47.30,47.42,1561092
10-Dec-12,47.14,47.81,47.14,47.42,1441809
7-Dec-12,47.09,47.28,46.66,47.19,1208603
6-Dec-12,46.42,47.06,46.42,46.96,1168406
5-Dec-12,47.19,47.33,46.28,46.40,2219310
4-Dec-12,45.42,47.23,45.22,47.19,3157185
3-Dec-12,45.72,45.88,45.14,45.39,1897520
30-Nov-12,45.66,45.70,44.96,45.47,2263515
29-Nov-12,45.64,45.88,45.21,45.57,1329724
28-Nov-12,44.56,45.55,43.85,45.53,2332178
27-Nov-12,45.09,45.20,44.66,44.74,1664613
26-Nov-12,44.96,45.37,44.69,45.12,1695059
23-Nov-12,44.50,45.35,44.47,45.17,732099
21-Nov-12,44.33,44.36,44.02,44.13,978962
20-Nov-12,44.16,44.54,43.79,44.32,1924490
19-Nov-12,44.42,44.78,43.99,44.25,2543306
16-Nov-12,44.14,44.49,43.21,44.33,3017408
15-Nov-12,44.81,45.07,43.75,43.97,3959486
14-Nov-12,46.50,46.68,45.06,45.13,3009222
13-Nov-12,47.23,47.44,46.05,46.07,2721313
12-Nov-12,47.05,48.00,46.84,47.60,2710615
9-Nov-12,45.65,46.60,45.60,46.24,3419377
8-Nov-12,46.83,46.92,45.52,45.66,3519177
7-Nov-12,48.36,48.51,46.74,46.92,2557884
6-Nov-12,48.48,48.90,48.19,48.90,2942287
5-Nov-12,47.71,48.48,47.48,48.23,1909491
2-Nov-12,48.61,48.71,47.53,47.90,2824349
