Date,Open,High,Low,Close,Volume
17-May-13,238.53,242.75,236.00,239.00,2878075
16-May-13,246.95,248.85,235.20,237.03,4008842
15-May-13,239.47,245.43,237.83,243.40,5151214
14-May-13,231.99,236.59,230.80,233.97,5507708
13-May-13,217.17,229.69,217.14,229.38,5913249
10-May-13,216.41,219.75,214.56,217.69,2694697
9-May-13,208.03,218.88,206.52,216.41,5159923
8-May-13,204.93,210.40,204.53,208.61,2517704
7-May-13,208.78,210.52,205.60,206.25,2442455
6-May-13,209.63,212.45,204.02,210.69,4534116
3-May-13,215.78,218.23,212.70,213.45,2204799
2-May-13,213.24,215.45,210.19,214.49,2619207
1-May-13,215.92,217.39,211.65,212.91,2624585
30-Apr-13,214.60,219.75,214.24,216.07,3583465
29-Apr-13,216.61,217.73,212.01,215.01,2969964
26-Apr-13,217.00,217.13,212.52,215.55,3114766
25-Apr-13,216.98,218.79,213.27,213.75,4183024
24-Apr-13,217.60,224.30,213.22,216.72,6703987
23-Apr-13,-,219.38,209.51,216.99,16408637
22-Apr-13,165.72,176.50,165.72,174.37,12124288
19-Apr-13,165.50,169.17,163.03,163.37,2880906
18-Apr-13,171.00,171.90,161.80,163.82,3304392
17-Apr-13,174.34,177.39,168.27,169.36,3936439
16-Apr-13,174.97,177.73,172.27,175.85,4247606
15-Apr-13,175.56,182.35,174.80,176.50,6650260
12-Apr-13,176.99,177.64,171.20,173.20,5402469
11-Apr-13,168.83,173.40,168.82,173.01,4722259
10-Apr-13,168.00,169.45,164.91,166.07,4247299
9-Apr-13,163.49,171.37,162.05,169.36,4869000
8-Apr-13,165.83,166.30,159.00,163.06,4536959
5-Apr-13,163.52,170.50,162.53,164.66,4645293
4-Apr-13,167.37,170.13,163.81,166.69,4923562
3-Apr-13,177.06,178.33,164.26,169.74,10771703
2-Apr-13,183.90,185.18,176.10,176.69,4613144
1-Apr-13,190.95,191.50,181.47,182.43,3280985
28-Mar-13,190.75,192.90,188.60,189.28,2799351
27-Mar-13,189.64,197.06,188.33,190.24,5783668
26-Mar-13,184.00,192.64,183.60,190.61,6689340
25-Mar-13,182.43,184.84,179.77,180.79,2147526
22-Mar-13,183.10,183.86,179.50,181.30,2029696
21-Mar-13,182.40,187.40,181.97,181.99,2686747
20-Mar-13,182.62,183.85,180.43,183.05,1591380
19-Mar-13,186.00,186.75,179.25,181.37,2840282
18-Mar-13,181.38,186.77,180.55,185.59,2583330
15-Mar-13,189.25,189.99,184.55,184.85,2953370
14-Mar-13,192.69,192.69,187.07,188.37,4069041
13-Mar-13,187.40,195.19,186.75,192.36,7699720
12-Mar-13,179.36,184.17,179.25,182.11,3022996
11-Mar-13,184.00,184.52,179.01,180.45,3003291
8-Mar-13,182.45,185.85,180.71,184.70,3360435
7-Mar-13,180.00,182.50,176.16,181.56,4102181
6-Mar-13,182.15,184.96,179.58,182.94,2494301
5-Mar-13,184.67,185.31,178.08,181.73,4621813
4-Mar-13,188.68,190.08,176.66,181.21,6835014
1-Mar-13,187.11,190.34,186.21,189.37,3064660
28-Feb-13,183.81,192.13,183.51,188.08,4900358
27-Feb-13,183.58,186.00,180.56,184.32,3235154
26-Feb-13,180.60,185.22,175.60,184.09,4842218
25-Feb-13,180.99,187.10,175.45,179.32,7457142
22-Feb-13,183.72,183.79,178.43,179.86,5567229
21-Feb-13,186.00,192.20,182.50,187.15,5270521
20-Feb-13,197.58,197.62,186.50,187.12,5003946
19-Feb-13,191.00,197.17,190.15,196.45,4878991
15-Feb-13,188.57,190.00,186.26,189.51,3809151
14-Feb-13,187.29,189.85,184.69,187.40,4570833
13-Feb-13,180.90,186.40,179.66,186.27,5846974
12-Feb-13,180.66,183.56,175.71,177.95,4914780
11-Feb-13,178.98,182.05,174.80,177.89,4194915
8-Feb-13,181.74,183.96,180.01,180.97,3667845
7-Feb-13,185.75,188.88,178.54,181.96,7586642
6-Feb-13,175.00,185.36,174.55,184.41,9605145
5-Feb-13,172.38,177.89,171.00,174.39,8155826
4-Feb-13,162.78,175.13,162.78,174.74,7281259
1-Feb-13,170.00,173.00,163.88,164.80,7201433
31-Jan-13,167.10,169.00,160.32,165.24,5090341
30-Jan-13,173.49,175.50,162.66,167.70,6869948
29-Jan-13,158.13,169.88,156.63,169.12,8515464
28-Jan-13,172.51,177.25,160.79,162.11,15594245
25-Jan-13,145.67,172.68,145.61,169.56,27349388
24-Jan-13,143.99,149.17,139.62,146.86,16972202
23-Jan-13,97.13,103.83,97.02,103.26,10605504
22-Jan-13,99.65,99.65,96.59,97.81,3254487
18-Jan-13,100.38,101.94,98.68,99.17,5144441
17-Jan-13,98.09,98.60,95.75,97.70,2317979
16-Jan-13,101.82,102.30,96.76,97.48,4007079
15-Jan-13,103.02,104.36,101.05,101.69,2439315
14-Jan-13,100.99,104.50,100.56,103.44,3353963
11-Jan-13,98.18,101.92,98.00,101.29,4264916
10-Jan-13,96.57,99.92,95.70,98.00,3731961
9-Jan-13,97.12,97.95,94.55,95.91,2889397
8-Jan-13,100.01,100.99,96.80,97.16,3532156
7-Jan-13,96.39,101.75,96.12,99.20,6509879
4-Jan-13,96.54,97.71,95.54,95.98,2538471
3-Jan-13,91.97,97.92,91.53,96.59,3990395
