Date,Open,High,Low,Close,Volume
17-May-13,38.23,38.54,38.18,38.52,2095045
16-May-13,38.54,38.58,37.90,37.94,2797902
15-May-13,38.14,38.66,38.06,38.65,3228937
14-May-13,37.64,38.21,37.64,38.20,2507880
13-May-13,37.62,37.77,37.47,37.53,1279137
10-May-13,37.52,37.76,37.36,37.74,1509872
9-May-13,37.08,37.59,37.08,37.42,2046912
8-May-13,36.92,37.23,36.92,37.18,1307835
7-May-13,37.09,37.26,37.00,37.08,1339762
6-May-13,37.23,37.32,36.96,37.11,1896987
3-May-13,37.01,37.47,36.64,37.37,2700383
2-May-13,36.51,36.93,36.37,36.90,2302521
1-May-13,36.48,36.63,36.21,36.30,2142735
30-Apr-13,36.05,36.42,36.02,36.41,2111313
29-Apr-13,35.99,36.25,35.82,36.13,1418935
26-Apr-13,36.23,36.31,35.85,35.87,2156813
25-Apr-13,36.17,36.33,36.06,36.28,1847354
24-Apr-13,36.14,36.25,35.98,36.04,1665061
23-Apr-13,35.87,36.07,35.54,36.05,2486833
22-Apr-13,35.60,35.71,35.10,35.56,1706411
19-Apr-13,35.17,35.48,35.17,35.40,2532579
18-Apr-13,35.79,35.83,35.16,35.33,2526105
17-Apr-13,35.41,35.74,35.24,35.63,3646076
16-Apr-13,35.50,35.78,35.37,35.66,2818750
15-Apr-13,35.85,36.15,35.26,35.34,3425160
12-Apr-13,36.11,36.14,35.81,36.14,1801670
11-Apr-13,35.78,36.16,35.76,36.09,1616307
10-Apr-13,35.31,35.84,35.23,35.80,2582803
9-Apr-13,35.24,35.30,34.88,35.22,2618624
8-Apr-13,34.87,35.06,34.78,35.06,1529821
5-Apr-13,35.45,35.45,34.65,34.89,3799223
4-Apr-13,35.45,35.80,35.42,35.61,1849279
3-Apr-13,35.89,35.95,35.38,35.46,3064284
2-Apr-13,35.61,35.90,35.29,35.87,3392141
1-Apr-13,34.86,35.50,34.85,35.33,3701787
28-Mar-13,34.83,35.18,34.10,35.06,4963609
27-Mar-13,34.57,34.98,34.48,34.76,2901211
26-Mar-13,34.42,34.91,34.42,34.84,2318003
25-Mar-13,34.49,34.67,34.25,34.35,2769362
22-Mar-13,34.19,34.44,34.02,34.44,2153139
21-Mar-13,34.29,34.29,33.99,34.16,2783707
20-Mar-13,34.11,34.47,33.84,34.39,3160189
19-Mar-13,33.83,34.02,33.63,33.91,2430114
18-Mar-13,33.72,34.02,33.65,33.78,1688258
15-Mar-13,34.13,34.24,33.85,33.99,2971452
14-Mar-13,34.10,34.26,34.05,34.25,1737401
13-Mar-13,34.05,34.18,33.83,34.12,1811302
12-Mar-13,33.99,34.05,33.76,33.89,1806904
11-Mar-13,34.01,34.11,33.80,33.95,2032689
8-Mar-13,34.24,34.25,33.84,33.99,1901554
7-Mar-13,33.84,34.20,33.77,34.06,2913466
6-Mar-13,34.00,34.09,33.66,33.78,1883169
5-Mar-13,33.69,33.99,33.60,33.94,2253296
4-Mar-13,33.14,33.54,33.02,33.52,2412538
1-Mar-13,32.73,33.40,32.73,33.35,2970845
28-Feb-13,33.15,33.32,33.06,33.10,3224605
27-Feb-13,32.96,33.24,32.91,33.17,3628262
26-Feb-13,33.23,33.44,32.88,32.99,3520875
25-Feb-13,33.39,33.62,33.00,33.01,3046010
22-Feb-13,33.13,33.25,32.96,33.12,2393869
21-Feb-13,33.65,33.66,32.87,33.01,3844842
20-Feb-13,33.97,34.05,33.69,33.71,2067674
19-Feb-13,33.95,33.96,33.73,33.93,2293388
15-Feb-13,33.66,34.00,33.65,33.97,3188059
14-Feb-13,33.48,33.72,33.36,33.72,1964066
13-Feb-13,33.20,33.64,33.20,33.53,1721241
12-Feb-13,33.28,33.49,33.20,33.44,1947476
11-Feb-13,33.28,33.38,33.11,33.32,1874029
8-Feb-13,33.34,33.60,33.19,33.32,2047082
7-Feb-13,33.22,33.37,32.93,33.22,2637471
6-Feb-13,33.29,33.42,33.03,33.27,3914965
5-Feb-13,32.97,33.36,32.83,33.35,3434283
4-Feb-13,32.95,33.14,32.61,32.71,2853076
1-Feb-13,32.75,33.09,32.72,32.86,4356745
31-Jan-13,32.35,32.69,32.32,32.65,7189142
30-Jan-13,32.50,32.56,32.17,32.28,4134887
29-Jan-13,32.02,32.61,31.95,32.58,3856670
28-Jan-13,31.91,32.08,31.66,31.95,2373962
25-Jan-13,31.75,31.87,31.54,31.84,3416385
24-Jan-13,32.37,32.39,31.73,31.74,5164179
23-Jan-13,32.54,32.65,32.22,32.28,3173955
22-Jan-13,32.45,32.54,32.23,32.47,1807623
18-Jan-13,32.05,32.39,31.97,32.38,2881287
17-Jan-13,32.08,32.17,31.95,32.02,1501649
16-Jan-13,32.13,32.28,31.91,31.95,1303701
15-Jan-13,32.24,32.31,31.98,32.08,1608948
14-Jan-13,31.77,32.36,31.77,32.27,2890270
11-Jan-13,31.90,32.04,31.55,31.78,2583707
10-Jan-13,32.10,32.16,31.73,31.85,2609185
9-Jan-13,32.03,32.24,31.85,31.96,2181700
8-Jan-13,31.93,32.14,31.90,31.95,2583070
7-Jan-13,32.19,32.20,31.90,32.02,1804196
4-Jan-13,32.08,32.21,31.76,32.17,2048830
3-Jan-13,31.69,32.20,31.66,31.90,2615653
2-Jan-13,31.70,31.85,31.47,31.85,3486945
31-Dec-12,30.57,31.14,30.55,31.10,2940835
