Date,Open,High,Low,Close,Volume
17-May-13,44.60,44.76,44.33,44.61,3688124
16-May-13,44.96,45.34,44.48,44.56,2609084
15-May-13,44.06,45.10,43.95,45.07,3645934
14-May-13,43.70,44.10,43.60,44.04,4304923
13-May-13,43.98,44.01,43.49,43.61,2767935
10-May-13,44.12,44.20,43.75,44.02,4571120
9-May-13,45.22,45.25,43.47,43.97,9318927
8-May-13,45.51,45.64,45.16,45.32,3318807
7-May-13,46.46,46.68,45.29,45.60,6862931
6-May-13,47.00,47.14,46.48,46.49,3078898
3-May-13,46.00,47.17,45.82,47.01,4226406
2-May-13,44.65,45.88,44.63,45.69,2738430
1-May-13,45.14,45.73,44.61,44.71,3817579
30-Apr-13,44.76,45.15,44.55,45.08,4313153
29-Apr-13,44.89,45.59,44.82,45.06,3553107
26-Apr-13,44.84,45.18,44.78,44.91,2300068
25-Apr-13,44.75,45.20,44.56,45.05,2131886
24-Apr-13,44.91,45.05,44.52,44.67,2223955
23-Apr-13,44.84,45.36,44.44,44.87,2167522
22-Apr-13,45.00,45.20,44.33,44.53,2026324
19-Apr-13,44.60,44.81,44.31,44.74,2746888
18-Apr-13,45.18,45.20,44.34,44.46,2995895
17-Apr-13,44.86,45.17,44.51,44.90,3421158
16-Apr-13,44.77,45.35,44.77,45.28,2226459
15-Apr-13,44.81,45.46,44.59,44.60,3553052
12-Apr-13,45.15,45.16,44.74,45.03,2817672
11-Apr-13,45.04,45.53,44.80,45.21,5896264
10-Apr-13,44.42,45.40,44.33,44.70,5795402
9-Apr-13,43.71,44.26,43.34,44.17,2529305
8-Apr-13,43.27,43.80,43.14,43.79,2814537
5-Apr-13,43.42,43.86,43.21,43.38,4307819
4-Apr-13,43.74,44.25,43.44,44.21,5109824
3-Apr-13,43.78,43.84,43.49,43.70,5043009
2-Apr-13,43.50,43.89,43.36,43.84,3371517
1-Apr-13,43.36,43.78,43.23,43.38,3397904
28-Mar-13,42.54,43.59,42.42,43.52,4075185
27-Mar-13,42.60,42.88,42.38,42.66,1706931
26-Mar-13,42.66,42.95,42.46,42.75,2125366
25-Mar-13,42.90,43.42,42.41,42.49,5296560
22-Mar-13,42.17,43.23,42.11,42.97,5619489
21-Mar-13,41.99,42.63,41.90,42.18,5659354
20-Mar-13,42.70,43.23,42.00,42.46,10733342
19-Mar-13,41.10,41.37,40.49,40.75,4767327
18-Mar-13,41.08,41.48,40.21,41.06,3311329
15-Mar-13,41.45,41.79,41.32,41.38,5424159
14-Mar-13,41.82,41.93,41.44,41.62,2762856
13-Mar-13,41.50,41.81,41.30,41.59,2892454
12-Mar-13,41.53,41.53,41.15,41.40,3454744
11-Mar-13,41.12,41.54,40.96,41.48,4632354
8-Mar-13,41.75,41.91,41.32,41.50,3330208
7-Mar-13,41.40,41.59,41.20,41.50,2680276
6-Mar-13,41.47,41.77,41.13,41.29,2835525
5-Mar-13,40.76,41.49,40.68,41.46,4236512
4-Mar-13,39.74,40.47,39.45,40.46,2423523
1-Mar-13,39.30,39.88,38.96,39.83,2328199
28-Feb-13,39.54,39.94,39.29,39.31,3637596
27-Feb-13,38.32,39.75,38.10,39.60,5285247
26-Feb-13,38.14,38.66,38.09,38.59,2924950
25-Feb-13,38.66,39.08,38.10,38.11,2738642
22-Feb-13,38.54,38.87,38.37,38.55,2835481
21-Feb-13,38.82,38.82,38.30,38.34,2872613
20-Feb-13,39.05,39.28,38.75,38.77,3129578
19-Feb-13,38.58,39.00,38.52,39.00,2056485
15-Feb-13,38.51,38.76,38.38,38.64,2367880
14-Feb-13,38.70,38.92,38.30,38.61,4929645
13-Feb-13,38.90,39.15,38.67,38.81,2490936
12-Feb-13,38.55,39.13,38.12,38.89,3279424
11-Feb-13,38.99,39.05,38.53,38.64,2333712
8-Feb-13,38.31,39.45,38.14,39.12,5104545
7-Feb-13,38.26,38.39,37.66,38.07,3110222
6-Feb-13,38.36,38.65,38.26,38.40,2567760
5-Feb-13,38.20,38.57,38.01,38.51,2355596
4-Feb-13,38.19,38.44,37.82,38.10,2927955
1-Feb-13,38.20,38.48,37.91,38.34,2416033
31-Jan-13,38.00,38.23,37.68,37.83,3291810
30-Jan-13,38.50,38.51,37.88,37.94,2693531
29-Jan-13,38.11,38.56,37.81,38.52,2935850
28-Jan-13,37.91,38.41,37.90,38.24,3536051
25-Jan-13,38.05,38.53,38.02,38.32,3272934
24-Jan-13,38.15,38.70,37.99,38.10,2605540
23-Jan-13,37.94,38.28,37.89,38.25,3308981
22-Jan-13,37.86,38.02,37.57,37.95,2475387
18-Jan-13,37.81,37.99,37.36,37.98,5561330
17-Jan-13,37.76,38.09,37.71,37.73,4089414
16-Jan-13,38.12,38.27,37.81,37.88,2640633
15-Jan-13,37.86,38.46,37.84,38.15,2968005
14-Jan-13,37.99,38.20,37.81,38.16,3048550
11-Jan-13,38.65,38.73,37.89,38.09,3511299
